CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0002-41,16-004,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN JOSE ICBOLAY,,AQUILES GIOVANI BAC GUEVARA,EDGAR BENJAMIN CAAL SAQUI,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0003-41,16-004,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SANTA LUCIA,51904421,AQUILES GIOVANI BAC GUEVARA,DIONICIO CHOC CÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0005-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN PABLO XUCANEB,44881075,MOISES ADRIAN LOPEZ PEREZ,MARGARITA FLORICELDA HIDALGO CHO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0007-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA BALBATZUL,59414129,JOSE ARTURO CHOC CHEN,ROGELIA FLORENTINA LEAL LACAN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0008-41,16-034,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SECOCPUR,47925921,FELIPE CHO TUT,JORGE FRANCISCO CUZ CUCUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0009-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA EL ROSARIO,,ERNESTO CAAL CHOC,MARCO TULIO CHOC CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0010-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SONTE,,JOSE ARTURO CHOC CHEN,ZOILA AMANDA PRADO PAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0011-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHOVAL,42118885,ERNESTO CAAL CHOC,EDGARDO EFRAIN PEREIRA RODRIGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0012-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,FINCA COOPERATIVA AGRICOLA SAMAC,47683968,MOISES ADRIAN LOPEZ PEREZ,JESSICA AZUCENA LEAL CATUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0013-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHITOCAN,,JOSE ARTURO CHOC CHEN,BERTHA ALICIA CAAL TENÍ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0015-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM DR. TOMAS LEAL SANCHEZ,ALDEA TONTEM,55414517,MOISES ADRIAN LOPEZ PEREZ,EDIN BALDOMERO CHEN CABNAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0016-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,COOPERATIVA CHICOJ,50475284,EFRAIN CAAL CUC,MARIO AGUILAR XOL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0017-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAXOC,44818505,JOSE ARTURO CHOC CHEN,JULIO CÉSAR CÚ QUIB,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0018-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN ISIDRO CHOVAL,32685979,ERNESTO CAAL CHOC,EDGAR CHÉN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0019-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHINACOCOM,,ERNESTO CAAL CHOC,GLADIS MICAELA XOY CUC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0022-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHILATZ,,ERNESTO CAAL CHOC,ROLANDO CHUN YAT,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0024-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA UCULHA,,ERNESTO CAAL CHOC,ANTONIO ALFREDO AGUILAR HERNÁNDEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0025-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA LAS CRUCES,,MOISES ADRIAN LOPEZ PEREZ,GLADYZ ODETTE GUZMAN DIAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0029-41,16-035,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,CASERIO SESAJAB I,,MARBIN ARIEL CHOC CAAL,AUGUSTO YAT CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0031-41,16-035,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CACAHUILA,,MARBIN ARIEL CHOC CAAL,ARTURO QUIB CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0032-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA OSTUA,,JOSE ARTURO CHOC CHEN,WAGNER KRESTER POP GUTIERREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0035-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHICHAIC,59489259,EFRAIN CAAL CUC,AIDA IVONNE SIERRA QUIROA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0039-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SIGUANHA,,EFRAIN CAAL CUC,ABELINO CUC POP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0040-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA GUALOM,,EFRAIN CAAL CUC,BRENDA ELIZABETH GARCÍA LEAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0041-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,CERRITOS SAMUX CHIRRAXCAJ,,ERNESTO CAAL CHOC,GENGLY SURELY ALVARADO GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0045-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SAN JOSE LA COLONIA,,EFRAIN CAAL CUC,ARELY EUNISE MACZ CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0046-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHICUXAB,46289573,MOISES ADRIAN LOPEZ PEREZ,JAIME OSWALDO TUT ICÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0047-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,CANTON LAS CASAS,,EFRAIN CAAL CUC,JUAN JOSÉ JOLOMNÁ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0048-41,16-034,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHAJCHE,45134668,FELIPE CHO TUT,GLENDA AZUCENA CASTRO YAXCAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0050-41,16-003,ALTA VERAPAZ,COBAN,COPB ANEXA A EORM,ALDEA CERRO LINDO SACHICHA,53369201,JOSE ARTURO CHOC CHEN,ANA ELISA REYES SIERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0051-41,16-002,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHICOJ RAXQUIX,,MOISES ADRIAN LOPEZ PEREZ,SERGIO ARMANDO MAAZ BOL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0157-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA CHINA ICHAB,30768602,ERNESTO CAAL CHOC,VIRGINIA LETICIA COC TUT,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0158-41,16-047,ALTA VERAPAZ,COBAN,COPB ANEXO A EORM,ALDEA SETUJ,48539972,ERNESTO CAAL CHOC,MARIA DEL CARMEN CHOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0159-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXA A EORM,ALDEA SACANILLA,,EFRAIN CAAL CUC,NORMA EUGENIA CHIQUIN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0160-41,16-001,ALTA VERAPAZ,COBAN,COPB ANEXO A EODP FEDERICO FROEBEL,3A AVE. 2-35 ZONA 1,79513888,EFRAIN CAAL CUC,YADIRA EDITH GARCIA RIVERA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0161-41,16-004,ALTA VERAPAZ,COBAN,COPB,SANTA CRUZ EL NACIMIENTO,46238104,AQUILES GIOVANI BAC GUEVARA,DOMINGO COY CAAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0162-41,16-047,ALTA VERAPAZ,COBAN,COPB COMUNIDAD SECANAIX,ALDEA SACANAIX,,ERNESTO CAAL CHOC,SCARLETH PRISCILLA CABALLEROS CORONADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0163-41,16-004,ALTA VERAPAZ,COBAN,COPB COMUNIDAD LAS PROMESAS NUEVE CERROS,ALDEA LAS PROMESAS NUEVE CERROS,,AQUILES GIOVANI BAC GUEVARA,DOMINGO CHUB CHOCOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0164-41,16-034,ALTA VERAPAZ,COBAN,COPB ALDEA CHINABOQUIL,ALDEA CHINABOQUIL,,FELIPE CHO TUT,LUCIA XOL BATZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0165-41,16-034,ALTA VERAPAZ,COBAN,COPB COMUNIDAD SACTELA,COMUNIDAD SACTELA,,FELIPE CHO TUT,MANUEL RAX CUC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0166-41,16-034,ALTA VERAPAZ,COBAN,COPB CASERIO ISRAEL,CASERIO ISRAEL,57809619,FELIPE CHO TUT,FELIPE SACBÁ POP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0174-41,16-004,ALTA VERAPAZ,COBAN,COPB,ALDEA ROCJA PONTILA,,AQUILES GIOVANI BAC GUEVARA,FERNANDO XOL CUCUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0175-41,16-004,ALTA VERAPAZ,COBAN,COPB,ALDEA SAN MARCOS,51592643,AQUILES GIOVANI BAC GUEVARA,MARCELINA DORALUZ CAMPOSECO GALICIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
