0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0001-41,15-002,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,MIRLA ROXANA IBOY ORTÍZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0330-41,15-004,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA TRAPICHE DE AGUA,42393664,BOYMAN GYRIONE MILIÁN GUZMÁN,GLADYS ROXANA GARCIA CABALLEROS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1243-41,15-004,BAJA VERAPAZ,SALAMA,COPB ANEXA A EORM,ALDEA SANTA INES CHIVAC,51357919,BOYMAN GYRIONE MILIÁN GUZMÁN,TELMA ESTELA SUMPANGO RODRÍGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1244-41,15-002,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA PASO ANCHO,54947815,MIGUEL ANGEL ATZIJ PICON,MARÍA ELVIRA SUMPANGO RODRÍGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-1661-41,15-004,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,"CASERIO LAS TEJAS, ALDEA LA CANOA",48624758,BOYMAN GYRIONE MILIÁN GUZMÁN,ADELA VICTORIA SIC CHEN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0001-41,15-032,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EORM,ALDEA SAN FRANCISCO,56975930,FLORI AMALIA PEREZ POCOP DE BOLVITO,BRENDA MARICELA CANAHUI COLOCHO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0008-41,15-032,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXA A EORM,"CASERIO LOS ENCUENTROS, ALDEA SAN FRANCISCO",47354435,FLORI AMALIA PEREZ POCOP DE BOLVITO,SILVIA LUCRECIA HERNÁNDEZ RODRÍGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0042-41,15-032,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EORM,CASERIO RINCONADA DE CHUPEL,47323775,FLORI AMALIA PEREZ POCOP DE BOLVITO,GLENDY MARITZA CUQUEJ CANAHUÍ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-02-0053-41,15-006,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COPB ANEXO A EOUM,CANTON SAN JUAN,54663544,HUGO RAMIRO GONZALEZ CANAHUI,MARIA ROSA TEMÚ BOLVITO,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
