CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0044-45,04-028,CHIMALTENANGO,CHIMALTENANGO,INEB ADSCRITA A ESCUELA NORMAL RURAL NO.1 PEDRO MOLINA,FINCA LA ALAMEDA,78399935,ISMAEL CRISTAL AJCET,YVETTE HAYDEÉ CARCUZ ARANGO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0045-45,04-003,CHIMALTENANGO,CHIMALTENANGO,IEBC,ALDEA BOLA DE ORO,41444505,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,AURA MARINA SOCOY QUELEX,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0047-45,04-001,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION MEDIA BASICA CON ORIENTACION OCUPACIONAL LEONIDAS MENCOS AVILA,1A. CALLE 9-30 ZONA 3,78391353,ABIMAEL ACUTA ABAJ,FRANCISCO ROBERTO DE LEÓN SANTIZO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0048-45,04-002,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""MARÍA INMACULADA""","DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA",78391591,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA CARMEN MARTÍNEZ OLARTE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0051-45,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO MIXTO ""SANTA ANA""",2A. CALLE 5-52 ZONA 4,78391533,ABIMAEL ACUTA ABAJ,MAURO AROLDO FIGUEROA ZAMORA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0052-45,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1RA. AV. 4-52 ZONA 4,78392827,ISMAEL CRISTAL AJCET,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0053-45,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,ISMAEL CRISTAL AJCET,IRMA ARACELI MENDOZA ALCÚ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0054-45,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO ""EL CASTILLO""","3A. CALLE 3-13 ZONA 3, COLONIA SAN JOSÉ LAS FLORES",58271337,ABIMAEL ACUTA ABAJ,NIRMA ANGELICA SANTOS GONZÁLEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0055-45,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,77282600,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0064-45,04-001,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,1A. CALLE 9-30 ZONA 3,78396762,ABIMAEL ACUTA ABAJ,GILDARDO LEONEL LANCERIO CABRERA,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0072-45,04-003,CHIMALTENANGO,CHIMALTENANGO,"LICEO CRISTIANO ""NATANAEL""","6A. AVENIDA ""A"" 2A-37, ZONA 2 COLONIA SANTA TERESITA",57998064,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,FLAVIO AUGUSTO CHOC CHOY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0088-45,04-020,CHIMALTENANGO,CHIMALTENANGO,INEB DE TELESECUNDARIA,ALDEA SOCOBAL,,MARILENA HERNÁNDEZ CABRERA,ABRAHAM RIVAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0094-45,04-028,CHIMALTENANGO,CHIMALTENANGO,INEB,"1A. AVENIDA 1-251, LA ALAMEDA, ZONA 9",41246602,ISMAEL CRISTAL AJCET,ELIDA PRICILA ABAJ SAC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0108-45,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"LOTE NO. 87, ZONA 1, RESIDENCIALES ""QUINTAS LOS APOSENTOS"" AVENIDA LOS APOSENTOS Y 8A. CALLE",48858241,ISMAEL CRISTAL AJCET,SANDRA NOEMI ORTIZ ESTRADA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0111-45,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),3A. CALLE 6-125 ZONA 4,78739582,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,BERTHA MARIA QUIROA GARNICA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0116-45,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO CIENTIFICO ESPAÑOL,"COLONIA SANTA TERESITA 5A. AVENIDA ""A"" MANZANA ""L"", LOTES NOS. 6 Y 7 ZONA 2",78393966,MARILENA HERNÁNDEZ CABRERA,SANDRA MARLENY HERNÁNDEZ TERET,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0118-45,04-020,CHIMALTENANGO,CHIMALTENANGO,"LICEO TECNOLOGICO CRISTIANO ""CASTILLO DE LA SABIDURIA""",COLONIA LAS LOLITAS ZONA 4,49902929,MARILENA HERNÁNDEZ CABRERA,GLORIA MARIELA CASTILLO ESTRADA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
