0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0002-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA CERRO ALTO,57527774,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARTIN GARCÍA ALVAREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0102-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA TONAJUYU DEL CENTRO,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA SOLEDAD TUBAC CALICIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0103-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA SAN ANTONIO LAS MINAS,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JORGE MARIO CUMEZ GUERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0104-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM,ALDEA TONAJUYU BUENOS AIRES,46911966,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JUAN EMILIO CUMEZ GUERRA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0188-41,04-028,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM DE APLICACION CENTRO AMERICA,FINCA LA ALAMEDA,78391337,ISMAEL CRISTAL AJCET,FRANCISCO QUIÑONEZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0189-41,04-002,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXO A EORM,ALDEA SAN MARCOS PACOC,54510115,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARVIN ABRAHAM GALINDO ESTRADA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0539-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA EL DURAZNO,41506821,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARIO OSWALDO AJSIVINAC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0603-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA SAN JOSE LAS MINAS,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARÍA ESTELA CALICIO CAMEY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0730-41,04-020,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EOUM,COLONIA QUINTAS LAS VICTORIAS,42027837,MARILENA HERNÁNDEZ CABRERA,EDY SAMUEL PABLO AVILA,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-3207-41,04-028,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO BILINGUE INTERCULTURAL K ASTAJIB AL -CEBIK-,"4A. AVENIDA NORTE 10-81 ZONA 1, LA ALAMEDA",78491914,ISMAEL CRISTAL AJCET,ANA REBECA TOMÁS,PREPRIMARIA BILINGUE,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0012-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,"COLONIA SAN JOSE LOS PINOS, ALDEA HACIENDA MARIA, CASERIO PARAXCHEJ",,JULIO RENE NOTZ CUTZAL,RENE CHIPIX APEN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0013-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,"CASERIO XEJUYU, ALDEA HACIENDA MARIA",30399863,JULIO RENE NOTZ CUTZAL,MIRIAM ELIZABETH CUX CHIPIX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0015-41,04-012,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXO A EORM,"CASERIO PARUXECHE, ALDEA PANEYA",,JULIO RENÉ NOTZ CUTZAL,ALEX EDÉN CUTZAL MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0066-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA PALEY,53110138,JULIO RENE NOTZ CUTZAL,ROSA SANIC BOTONES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0067-41,04-012,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA PANEYA,,JULIO RENÉ NOTZ CUTZAL,NOÉ JUVENTINO ESQUIT CURRUCHICH,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0068-41,04-012,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA PALAMA,47804516,JULIO RENÉ NOTZ CUTZAL,TERESA TUBAC MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0069-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA HACIENDA VIEJA,49488629,JULIO RENE NOTZ CUTZAL,CARLOS CHUTÁ CHÁN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0070-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA HACIENDA MARIA,30554954,JULIO RENE NOTZ CUTZAL,LEONARDO APÉN MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0071-41,04-012,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,ALDEA SAQUITACAJ,,JULIO RENÉ NOTZ CUTZAL,DELIA QUILL CUXIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0072-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,CASERIO PAXCABALCHE ALDEA HACIENDA VIEJA,,JULIO RENE NOTZ CUTZAL,MERIDA ELIZABETH MAXÍA RAXÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0073-41,04-022,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,CASERIO NUEVA ESPERANZA ALDEA HACIENDA MARIA,,JULIO RENE NOTZ CUTZAL,MARIO REYES XIQUÍN GABRIEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-02-0075-41,04-012,CHIMALTENANGO,SAN JOSE POAQUIL,COPB ANEXA A EORM,CASERÍO CHUATACAJ NO. 2,,JULIO RENÉ NOTZ CUTZAL,MARÍA LUCÍA OTZOY PICHIYÁ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
