0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0008-43,20-009,CHIQUIMULA,CHIQUIMULA,"EOUM ""MACARIO RIVAS""",4A CALLE 8-51 ZONA 1,79652016,NINETH DEL ROSARIO MORALES SANCE DE REYES,ROXANA LISBETH URRUTIA PINTO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0009-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUV NO. 1 ABRAHAM A CEREZO,10A AVE 3-10 ZONA 1,42212915,NINETH DEL ROSARIO MORALES SANCE DE REYES,RAÚL EDGARDO VILLEDA HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0010-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUM VICENTE CARRANZA LEMUS JM,9A. CALLE ZONA 4,79426487,NINETH DEL ROSARIO MORALES SANCE DE REYES,ZABDI ISMERAI SANCÉ GALDÁMEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0011-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUN NO. 2 FLORENCIO MENDEZ,3A CALLE 4-51 ZONA 1,79421130,NINETH DEL ROSARIO MORALES SANCE DE REYES,BRENDA LISSETTE FLORES PALENCIA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0012-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUN NO.1 'JUAN MANUEL AGUIRRE',3A CALLE 4-51 ZONA 1,51309572,NINETH DEL ROSARIO MORALES SANCE DE REYES,JOSÉ ALFREDO ESTRADA ALAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0013-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUM DE APLICACION ANEXA A INSO,"1A CALLE ENTRE 2A. Y 3A. AVENIDA, ZONA 2, COLONIA LONE",49320589,NINETH DEL ROSARIO MORALES SANCE DE REYES,LICINIO FLORES SAGASTUME,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0014-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUN NO. 3 TRANSITO FLORES MORALES,10A AVE 3-10 ZONA 1,32083119,NINETH DEL ROSARIO MORALES SANCE DE REYES,FLORA SAGASTUME SAGASTUME,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0015-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUM MARIA ALBERTINA SALGUERO BRACAMONTE,4A CALLE 1-42 ZONA 1,79426481,NINETH DEL ROSARIO MORALES SANCE DE REYES,RUDY ARNOLDO CHEGÜÉN GUZMÁN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0016-43,20-009,CHIQUIMULA,CHIQUIMULA,EOUM DE APLICACION ANEXA A INVO,"4A CALLE Y 6A AVENIDA, ZONA 1",58155571,NINETH DEL ROSARIO MORALES SANCE DE REYES,LISIDIA DEL PILAR ESPAÑA ARIAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
