CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0108-45,05-033,ESCUINTLA,ESCUINTLA,IEBC DE ENSEÑANZA,"LOTE 2-A, COLONIA SANTA ROSA ALDEA EL RODEO",50567276,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZÁLEZ LARIOS,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0110-45,05-033,ESCUINTLA,ESCUINTLA,INEB 'SIMON BERGAÑO Y VILLEGAS',1A AVENIDA. 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,CARLOS JOSE RODRIGO RODRIGUEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0120-45,05-033,ESCUINTLA,ESCUINTLA,CENTRO ESCOLAR NUESTRA SEÑORA DE CONCEPCION,KM. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZÁLEZ LARIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0121-45,05-033,ESCUINTLA,ESCUINTLA,IPMB 'TECNICO EXPERIMENTAL DEL SUR',1A. CALLE 2-38 ZONA 3,31651314,REMY ARTURO SINAY GUDIEL,JUAN ROMEO SUÁREZ CHACÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0125-45,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGÜE,1A.AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0127-45,05-033,ESCUINTLA,ESCUINTLA,CORPORACIÓN DE LICEO EDUCATIVO TECNICO EVANGELICO SOCIEDAD ANÓNIMA,1AV AVENIDA 5-80 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,IRMA MARÍA BARRIOS Y BARRIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0133-45,05-033,ESCUINTLA,ESCUINTLA,INEBE 'DR.CARLOS SAMAYOA CHINCHILLA',4A AVE. 15-20 ZONA 4,78890946,REMY ARTURO SINAY GUDIEL,FULBIA YISEL CASTELLANOS CONTRERAS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0134-45,05-033,ESCUINTLA,ESCUINTLA,INEB,7A CALLE 3-02 ZONA 1,57171570,REMY ARTURO SINAY GUDIEL,LEONEL ARNULFO ORTEGA MORATAYA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0141-45,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,1 AVENIDA 3-29 ZONA 3 COLONIA LAS GOLONDRINAS,78899582,REMY ARTURO SINAY GUDIEL,MANUELA DE JESÚS GONZÁLEZ CANO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0142-45,05-033,ESCUINTLA,ESCUINTLA,IEBC DE ENSEÑANZA SAN FELIPE,COLONIA SAN FELIPE (EL CEMENTERIO),47720318,REMY ARTURO SINAY GUDIEL,VIVIAN WALENDA RAMOS CARBALLO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
