0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0029-43,05-025,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,COLONIA SANTA MARTA,30318661,ALMA LIBERTAD PEREZ MARTINEZ,JÉSSICA ANDREA BARRERA JIMÉNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0030-43,05-001,ESCUINTLA,ESCUINTLA,EORM,ALDEA FLORIDO ACEITUNO,58730831,MARIA DEL CARMEN SANDOVAL LOPEZ,EUGENIA LUCRECIA GONZÁLEZ NATARENO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0031-43,05-025,ESCUINTLA,ESCUINTLA,EORM,ALDEA LAS CHAPERNAS,42973036,ALMA LIBERTAD PEREZ MARTINEZ,GAUDY ARIANA SAGASTUME ORTEGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0032-43,05-025,ESCUINTLA,ESCUINTLA,EORM LIC. MARIO MENDEZ MONTENEGRO,CALLE PRINCIPAL LOTE NO. 19 COLONIA EL CARMEN,42376672,ALMA LIBERTAD PEREZ MARTINEZ,LESTER EDUARDO CAAL LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0033-43,05-025,ESCUINTLA,ESCUINTLA,EORM,LOTE NO.30 SECCIÓN B ALDEA LA ESTANCIA,47452413,ALMA LIBERTAD PEREZ MARTINEZ,MARÍA DOLORES QUEVEDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0035-43,05-025,ESCUINTLA,ESCUINTLA,EORM,2A. AVENIDA 3A. CALLE LOTE 218 AL 220 COLONIA MONTERREY,41086951,ALMA LIBERTAD PEREZ MARTINEZ,SANDRA JUDITH COLLADO SOLARES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0036-43,05-025,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,FINCA SAN LUIS BUENA VISTA,42189521,ALMA LIBERTAD PEREZ MARTINEZ,MÓNICA ELVIRA ZULETA HERRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0037-43,05-001,ESCUINTLA,ESCUINTLA,EORM,LOTIFICACION SAN GABRIEL,45116699,MARIA DEL CARMEN SANDOVAL LOPEZ,FLORENCIA RODRIGUEZ RAMIREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0038-43,05-001,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,ALDEA LOS OLIVOS,42181240,MARIA DEL CARMEN SANDOVAL LOPEZ,VILMA ARACELY SIERRA MUÑOZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0039-43,05-001,ESCUINTLA,ESCUINTLA,EORM AIDA MARÍA SANDOVAL ALARCÓN DE RIVERS,KM. 68.5 CARRETERA A TAXISCO LOTIFICACION SAN CARLOS II,30179126,MARIA DEL CARMEN SANDOVAL LOPEZ,OLGA ESPERANZA GONZÁLEZ GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0040-43,05-001,ESCUINTLA,ESCUINTLA,EORM MANUEL MONZON MORALES,CANTON LOS VOLADORES,54037500,MARIA DEL CARMEN SANDOVAL LOPEZ,MAYRA JUDITH MORALES MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0041-43,05-001,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,ALDEA EL RODEO,47403136,MARIA DEL CARMEN SANDOVAL LOPEZ,CLEOTILDE MARLENE RODRIGUEZ ORELLANA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0042-43,05-001,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,FINCA EL SALTO,59746783,MARIA DEL CARMEN SANDOVAL LOPEZ,CLANSSY SUYAPA CASTILLO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0043-43,05-025,ESCUINTLA,ESCUINTLA,ESCUELA OFICIAL RURAL MIXTA,ALDEA VALLARTA,56493620,ALMA LIBERTAD PEREZ MARTINEZ,YESSENNIA CAROLINA QUIÑÓNEZ ARMAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0045-43,05-025,ESCUINTLA,ESCUINTLA,EORM LEON LIND PETTERSEN,ALDEA GUADALUPE,54256310,ALMA LIBERTAD PEREZ MARTINEZ,MADELIN ELIZABETH MORALES MANCILLA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0046-43,05-025,ESCUINTLA,ESCUINTLA,EORM MARIA MARTA ESCOBAR COBOS DE RICHARSON,COLONIA PRADOS DEL RIO,78895683,ALMA LIBERTAD PEREZ MARTINEZ,JUANA DE JESUS BARRERA FLORIAN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0047-43,05-001,ESCUINTLA,ESCUINTLA,EORM,COLONIA LOS PORTALES,51346606,MARIA DEL CARMEN SANDOVAL LOPEZ,MARIA ANGEL VALLADARES MENDOZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0049-43,05-022,ESCUINTLA,ESCUINTLA,EOUM,COLONIA SAN FELIPE EL CEMENTERIO,49145937,EMILSA NOEMI GARCÍA FUENTES DE ORELLANA,KENYA ROXANA OCHOA BARILLAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
