CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-1247-45,01-110,GUATEMALA,GUATEMALA,IEBC DE ENSEÑANZA,"LOTE 8, MANZANA 53 CANTON CENTRAL CANALITOS, ZONA 17",,ZUHILEM YESENIA ESTRADA ORTIZ,--------------,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2331-45,01-635,GUATEMALA,GUATEMALA,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA JUAN MARCOS,1A. AVENIDA Y 1A. CALLE ZONA 21 LOMA BLANCA COLONIA GUAJITOS,24494835,NATALY FABIOLA SOTO ESPAÑA DE TURCIOS,,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2814-45,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 GUAJITOS ZONA12,24795027,ADRIANA FABIOLA BOLAÑOS ESTRADA,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2907-45,01-110,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57, CANALITOS ZONA 17",57285158,ZUHILEM YESENIA ESTRADA ORTIZ,ROSELIA MARROQUIN BOCANEGRA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-02-0003-45,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,KEILY MARILU MORAN LEMUS,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0006-45,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KM. 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON LA LABOR DE MONZON, L. 3, Z. 8.",66611170,JULIA ENECON ROCA MORAN,DORA LILI MORALES CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0019-45,01-645,GUATEMALA,SANTA CATARINA PINULA,"INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA ""AGUSTIN UBIETO""","AVENIDA PRINCIPAL FINAL DE ALDEA EL PUEBLITO, SECTOR II ZONA 1",23677819,ALBA MARICELA JOR PORTILLO,PAULINO SOLÓRZANO MUÑOZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0020-45,01-644,GUATEMALA,SANTA CATARINA PINULA,INEB,ALDEA PIEDRA PARADA CRISTO REY,59222707,LIGIA DEL ROSARIO RICCI VELASQUEZ,OSEAS IVAN MENCHÚ COLOP,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0021-45,01-502,GUATEMALA,SANTA CATARINA PINULA,INEB,ALDEA EL PAJON,30526535,JULIA ENECON ROCA MORAN,CRISTIAN ALEJANDRO MORATAYA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0028-45,01-644,GUATEMALA,SANTA CATARINA PINULA,INEB DE TELESECUNDARIA,ALDEA SAN JOSE EL MANZANO,56831875,LIGIA DEL ROSARIO RICCI VELASQUEZ,ERICKA NOHEMI PÉREZ RAFAÉL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
