CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-07-1406-41,01-114,GUATEMALA,SAN PEDRO AYAMPUC,COPB ANEXO A EORM NO. 887,ALDEA SAN JOSE NACAHUIL,54003329,ROSA MONROY PIXTUN DE SURET,MARÍA ANGÉLICA PEINADO PIXTUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-09-0009-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO EL AGUACATE, ALDEA VISTA HERMOSA",54916763,SILVIA MAGALY GARCIA GARCIA,HUMBERTO SOLANO YUP NIJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2667-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM VISTA HERMOSA I,"KM. 22, ALDEA VISTA HERMOSA",54699945,SILVIA MAGALY GARCIA GARCIA,MARGARITA CONCEPCIÓN GONZALEZ GUTIERREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6667-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM BILINGÜE,CANTON LAS LIMAS ALDEA VISTA HERMOSA,46453816,SILVIA MAGALY GARCIA GARCIA,DELMIS ALEIDA CHOC ORTIZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-9557-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO LOS VASQUEZ, ALDEA BUENA VISTA",54515083,SILVIA MAGALY GARCIA GARCIA,HECTOR DAVID POCÓN CHUQUIÉJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1750-41,01-649,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB,ALDEA PACHALI,53057253,YESSICA FABIOLA RAMOS MELENDEZ,NÉLSON VIRGILIO COC SUBUYUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1753-41,01-649,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ESCUELA OFICIAL RURAL NO. 870 J.M.,ALDEA CRUZ BLANCA,39173497,YESSICA FABIOLA RAMOS MELENDEZ,MARTA ADELINA SABÁN AJVATZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1754-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA,ALDEA CONCEPCION EL PILAR I,53574372,JENNIFER MICHEL RIVERA AGUILAR,MARVIN GIOVANNY CHAJÓN CHOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1755-41,01-610,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXA A EORM,ALDEA COMUNIDAD DE ZET,51780539,LESBIA MARICELA COTZOJAY PATZAN,JOSÉ EULALIO BOROR PIRIR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1760-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA 'LUIS ADOLFO JUAREZ TOLEDO',ALDEA SAN ANTONIO LAS TROJES,,JENNIFER MICHEL RIVERA AGUILAR,MARIA RAQUEL SUBUYUJ PIRIR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1764-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,CASERIO SANTA FE OCAÑA ALDEA CRUZ BLANCA,42145214,JENNIFER MICHEL RIVERA AGUILAR,MARÍA LOURDES BÚCARO REYES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1766-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA,ALDEA MONTUFAR,57013058,MARIA DE LOS ANGELES GONZALEZ ALDANA,JOSÉ ANDRES COSOJAY XUJUR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1767-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA 'MARIA ESTHER HERNÁNDEZ VDA. DE QUIROZ,ALDEA LOMA ALTA,55152874,JENNIFER MICHEL RIVERA AGUILAR,ANA ANTONIETA OROZCO ALVARADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1768-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,CASERIO LOS PAJOQUES ALDEA LOMA ALTA,45542421,JENNIFER MICHEL RIVERA AGUILAR,GLENDA MARISOL CASTELLANOS COLOMA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1769-41,01-610,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM 'DOCTORA DORIS T. ALLEN',ALDEA SAJCAVILLA,66304989,LESBIA MARICELA COTZOJAY PATZAN,GLADIS CONSUELO SICÁN CHITAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1770-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,ALDEA LA UNION EL PILAR II,59797747,JENNIFER MICHEL RIVERA AGUILAR,JUAN CARLOS AJCUC CHACAT,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-6118-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM 'ALBERTO ZARCO',CASERIO LOS GUATES ALDEA SUACITE,53195636,MARIA DE LOS ANGELES GONZALEZ ALDANA,ANA PATRICIA LÓPEZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-6552-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,COMUNIDAD LAS PALMAS ALDEA SUACITE,32351314,MARIA DE LOS ANGELES GONZALEZ ALDANA,ROBÍN ENEDIEL GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-6590-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO EORM,CASERIO ESTANCIA EL ROSARIO,51827106,MARIA DE LOS ANGELES GONZALEZ ALDANA,MARCY SUCELY BOR GÁLVEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7050-41,01-610,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO EVANGELICO MAYA BETHANIA,10A CALLE 0-15 ZONA 4,66304095,LESBIA MARICELA COTZOJAY PATZAN,JOSUÉ ARIEL PIRIR LOCÓN,PREPRIMARIA BILINGUE,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7333-41,01-410,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO ASUNCION CHIVOC COMUNIDAD RUIZ,59495149,CEDWIN EUGENIO CRUZ BUCARO,NORMAN ELÍ BOROR BOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7334-41,01-649,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,COMUNIDAD DE RUIZ,,YESSICA FABIOLA RAMOS MELENDEZ,SILVIA CAROLINA RAMÍREZ MONTERROSO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7335-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO CRUZ AYAPAN, ALDEA LOMA ALTA",,JENNIFER MICHEL RIVERA AGUILAR,PEDRO MONROY VÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7336-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO SAN MATIAS ALDEA SUACITE,57796660,MARIA DE LOS ANGELES GONZALEZ ALDANA,MARCO TULIO SICÁN VALLE.,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7337-41,01-649,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM EMILIO CASTELLANOS GONZALEZ,CASERIO LOS PATZANES I ALDEA CERRO ALTO,57003833,YESSICA FABIOLA RAMOS MELENDEZ,OSCAR FRANCISCO HERRERA CASTAÑEDA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7338-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO SAN FRANCISCO LAS LOMAS ALDEA ESTANCIA GRANDE,53211909,MARIA DE LOS ANGELES GONZALEZ ALDANA,MIRIAM AMPARO GARCÍA GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7380-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM GUILLERMO ALVARADO ROBLES,ALDEA SUACITE,46242695,MARIA DE LOS ANGELES GONZALEZ ALDANA,HERTY TABITA HERNANDEZ PAREDES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-7385-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO EORM,CASERIO SAN JERONIMO CHUAXAN ALDEA MONTUFAR,32883772,MARIA DE LOS ANGELES GONZALEZ ALDANA,HEIDY DABEIBA GALVEZ MANZO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-8061-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO GUAMUCH ALDEA LOMA ALTA,,JENNIFER MICHEL RIVERA AGUILAR,EDGAR ROLANDO SURUY PIRIR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-8182-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO LOS SAJQUIES ALDEA MONTUFAR,34177230,MARIA DE LOS ANGELES GONZALEZ ALDANA,RENÉ BELARMINO DIEGUEZ HERNÁNDEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-8454-41,01-610,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM 'DRA. DORIS T. ALLEN',ALDEA SAJCAVILLA,45583290,LESBIA MARICELA COTZOJAY PATZAN,MARTA ISABEL LOCÓN CHAMALÉ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-8512-41,01-410,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,CASERIO PASAJOC ALDEA CERRO ALTO,45951057,CEDWIN EUGENIO CRUZ BUCARO,ANA VERÓNICA PIRIR AJVIX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-9676-41,01-622,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB ANEXO A EORM,COLONIA SAN JORGE ALDEA SUACITE,49503990,MARIA DE LOS ANGELES GONZALEZ ALDANA,MARÍA ESPERANZA PIRIR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-0024-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA VUELTA GRANDE,49825478,RONY ESTUARDO AREVALO CASTILLO,DIEGO ARMANDO ROJAS BALCARCEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-2675-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA,ALDEA EL CARRIZAL,45007268,RONY ESTUARDO AREVALO CASTILLO,ILSA LUISIANA ROJAS MOSCOZO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-6627-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO EORM,CASERIO LO DE GUERRERO ALDEA LA CIENAGA,46560223,RONY ESTUARDO AREVALO CASTILLO,MYLIN MERARI ALVARADO LAPOYÉN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-8207-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA VUELTA GRANDE,42147414,RONY ESTUARDO AREVALO CASTILLO,MAOLY ELIZABETH MARROQUÍN ROJAS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-11-8826-41,01-613,GUATEMALA,SAN RAYMUNDO,COPB ANEXO A EORM,ALDEA ESTANCIA VIEJA,55520571,RONY ESTUARDO AREVALO CASTILLO,LILIANA GUADALUPE CAMEY GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
