CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-1198-43,01-110,GUATEMALA,GUATEMALA,EORM NO.612,CANTON LOURDES ALDEA CANALITOS ZONA 17,52779049,ZUHILEM YESENIA ESTRADA ORTIZ,EDNA ODILI JIMÉNEZ FLORES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1215-43,01-210,GUATEMALA,GUATEMALA,EOUM NO.456 CANADA,3A. CALLE 2-61 ZONA 12 COLONIA GUAJITOS,24774332,DINIZ ORALIA MORALES MUÑOZ,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1231-43,01-635,GUATEMALA,GUATEMALA,EPRM COLEGIO JUAN MARCOS,"1A.CALLE Y 1A.. AVENIDA ZONA 21 LOMA BLANCA, COLONIA GUAJITOS",24494835,NATALY FABIOLA SOTO ESPAÑA DE TURCIOS,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1233-43,01-208,GUATEMALA,GUATEMALA,EPRM CENTRO EDUCATIVO 'EMILENO',3A AVE. 7-33 COLONIA VASQUEZ ALDEA GUAJITOS,24488335,LILIAN NINETH TEOS REYES,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1237-43,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 ALDEA GUAJITOS,24795027,ADRIANA FABIOLA BOLAÑOS ESTRADA,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2605-43,01-110,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57 CANTON PORVENIR, CANALITOS ZONA 17",54647521,ZUHILEM YESENIA ESTRADA ORTIZ,ROSELIA MARROQUIN BOCANEGRA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2839-43,01-106,GUATEMALA,GUATEMALA,COLEGIO PRIVADO MIXTO 'BOSQUE DEL QUETZAL',KM.16.5 RUTA AL ATLANTICO LOTE 1 SECCION'A.COL.SANTA DELFINA ZONA 17,22596263,CESAR ARNOLDO MARTINEZ GARCIA,DERBY RANDY RUANO LÓPEZ,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-6252-43,01-106,GUATEMALA,GUATEMALA,COLEGIO MIXTO LATINOAMERICANO,"LOTE 40 RESIDENCIALES HERMANO PEDRO ZONA 17, KM. 14.5",22555497,CESAR ARNOLDO MARTINEZ GARCIA,JOAQUÍN LORENZO BÁMACA GONZÁLEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-02-0002-43,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,ADA DINORA PALACIOS SOTO,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0005-43,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KM. 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON, . LA LABOR DE MONZON, L. 3, Z. 8.",66611170,JULIA ENECON ROCA MORAN,DORA LILI MORALES CASTILLO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
