CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0062-45,13-004,HUEHUETENANGO,HUEHUETENANGO,INEB ADSCRITO AL INSTITUTO NORMAL MIXTO ALEJANDRO CORDOVA,"6A. AVENIDA ""A"" 10-59, ZONA 1",77690082,CLARA ARMIDA MORALES CASTILLO,OTTO RENÉ GUTIÉRREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0064-45,13-050,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA CON ORIENTACIÓN OCUPACIONAL,CANTON SAN JOSE ZONA 5,77681904,REYNALDO RECINOS CASTILLO,ROSA MARIA ACEVEDO HERRERA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0068-45,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVE. DE LA SALLE 10-00 ZONA 1,54142119,REYNALDO RECINOS CASTILLO,OSCAR FERNANDO MARTÍNEZ TELLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0069-45,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGELICO MIXTO LA AURORA,5A CALLE 5-47 ZONA 1,77641328,REYNALDO RECINOS CASTILLO,DAILY RUSBÍ GONZÁLEZ RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0072-45,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA 'DIEGUEZ OLAVERRI',EL TERRERO ZONA 4,79345408,CLARA ARMIDA MORALES CASTILLO,ADELA MARÍA CALDERON CANO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0113-45,13-050,HUEHUETENANGO,HUEHUETENANGO,INEB DE TELESECUNDARIA,ALDEA TALMICHE,41085611,REYNALDO RECINOS CASTILLO,CLAUDIA HAYDEÉ ORDÓÑEZ LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0114-45,13-050,HUEHUETENANGO,HUEHUETENANGO,INEB DE TELESECUNDARIA,ALDEA CANABAJ,55854110,REYNALDO RECINOS CASTILLO,ROBERTO ESTUARDO ROJAS LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0115-45,13-050,HUEHUETENANGO,HUEHUETENANGO,INEB DE TELESECUNDARIA,CASERIO XINAXOJ ALDEA TOJOTZALÉ,50053320,REYNALDO RECINOS CASTILLO,ESMERALDA ANTONIETA MARTÍNEZ MARTÍNEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0133-45,13-050,HUEHUETENANGO,HUEHUETENANGO,INEB DE TELESECUNDARIA,ALDEA LA ESTANCIA,33892098,REYNALDO RECINOS CASTILLO,VILKAR FERNANDO MORENO GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0142-45,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMATICA,"4A. AVENIDA 1-30, ZONA 1",77648784,CLARA ARMIDA MORALES CASTILLO,NIVEA MARINA RIVAS GUTIÉRREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
