CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-02-0075-41,13-006,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,ALDEA CHOCHAL,49695386,MARÍA ELENA MATÍAS ANTONIO DE MONTEJO,MARDOQUEO FACTOR ESCOBEDO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-5689-41,13-006,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,CANTON POTRERO ALDEA CHOCHAL,51854731,MARÍA ELENA MATÍAS ANTONIO DE MONTEJO,SAMUEL HERNÁNDEZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-02-6193-41,13-006,HUEHUETENANGO,CHIANTLA,COPB ANEXO A EORM,CASERIO CUL CHEMAL ALDEA CHANCOL,49284206,MARÍA ELENA MATÍAS ANTONIO DE MONTEJO,ANA MARIEL FIGUEROA TELLO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0058-41,13-009,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,CASERIO CHIPILINES ALDEA XEPON GRANDE,00000000,AUGUSTO RENÉ CASTILLO AGUIRRE,CANDELARIA ZARAT IXCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0167-41,13-009,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA PUEBLO VIEJO,48261828,AUGUSTO RENÉ CASTILLO AGUIRRE,ELMA SONTAY IXCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0168-41,13-010,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA RIO HONDO,,AUGUSTO RENÉ CASTILLO AGUIRRE,ALBERTH ESAÚ AVILA CIFUENTES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-0169-41,13-010,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA CIENEGUILLAS,32645807,AUGUSTO RENÉ CASTILLO AGUIRRE,ELVIA JUDITH CHAMPET SONTAY DE LOPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-5029-41,13-010,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,"CASERIO LA PLACITA,ALDEA CIENEGUILLAS",,AUGUSTO RENÉ CASTILLO AGUIRRE,MANUELITO DE JESÚS HIDALGO LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-03-6954-41,13-009,HUEHUETENANGO,MALACATANCITO,COPB ANEXO A EORM,ALDEA XEPON GRANDE,,AUGUSTO RENÉ CASTILLO AGUIRRE,JOSÉ SONTAY TARAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-04-0084-41,13-012,HUEHUETENANGO,CUILCO,COPB ANEXO A EORM,ALDEA SHEQUEMEBAJ,32946181,LUIS FERNANDO VENTURA GONZÁLEZ,ORBELIO LUCIO GÁLVEZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
