CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0006-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUM JM TIPO FEDERACION ""CARLOS CALDERON TARACENA ""","CANTÓN SAN JOSÉ, ZONA 5",77690695,HUGO GONZÁLEZ SALVADOR,JORGE LUIS HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0007-43,13-001,HUEHUETENANGO,HUEHUETENANGO,EOUV 'DOMINGO MORALES',2A CALLE 6-83 ZONA 1,41233351,HUGO GONZÁLEZ SALVADOR,LORENA JUDITH CANO HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0008-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUN NO. 2 ""JACINTA MOLINA""",3A. CALLE 3-09 ZONA 1,77640259,HUGO GONZÁLEZ SALVADOR,MAHALY ESTER ROBLERO MAZARIEGOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0009-43,13-001,HUEHUETENANGO,HUEHUETENANGO,EOUM 'MINERVA' KAIBIL BALAM,"1A. AVE. ZONA 2, COLONIA PANAMA",49025902,HUGO GONZÁLEZ SALVADOR,STUARDO GREGORIO GARCÍA SERRANO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0010-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"ESCUELA OFICIAL URBANA DE NIÑAS NO.1 ""AMALIA CHÁVEZ""",5A. AVE. 3-59 ZONA 1,59057228,HUGO GONZÁLEZ SALVADOR,BLANCA LIDIA ALVARADO HIDALGO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0011-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUM ""EL CALVARIO""","2A. AVENIDA ""A"" 4-53 ZONA 3 EL CALVARIO",47188907,HUGO GONZÁLEZ SALVADOR,SANDRA LUCRECIA CANO JORGE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0012-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUV NO.1 ""SALVADOR OSORIO""",2A. CALLE 7-26 ZONA 1,77641669,HUGO GONZÁLEZ SALVADOR,DIMAS NOÉ MORALES,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0013-43,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVENIDA DE LA SALLE 10-00 ZONA 1,54142119,HUGO GONZÁLEZ SALVADOR,OSCAR FERNANDO MARTÍNEZ TELLO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0014-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO PRIVADO MIXTO ""SAN LORENZO""",5A. CALLE 1ER ACCESO 5-75 ZONA 5,77646479,HUGO GONZÁLEZ SALVADOR,LILIAN IVETH GALICIA AVILA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0015-43,13-001,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA 'DIEGUEZ OLAVERRI',EL TERRERO ZONA 4,79345408,HUGO GONZÁLEZ SALVADOR,IRENE AGUIRRE ESCOBAR,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0016-43,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO EVANGELICO MIXTO 'LA AURORA',5A. CALLE 5-47 ZONA 1,30180936,HUGO GONZÁLEZ SALVADOR,OVIDIA YOLANDA SOTO VILLATORO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0018-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA SUCULIQUE,,MIRZA YOJANA LÓPEZ BRIONES,KAREN LISSETTE GÓMEZ MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0019-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA XETENAM,46355278,MIRZA YOJANA LÓPEZ BRIONES,GUSTAVO ADOLFO RIVAS MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0020-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA EL TERRERO,79345327,AURA MARINA RECINOS DE FÚNES,MARÍA DEL ROSARIO MOLINA OSORIO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0021-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA CANÁBAJ,58348347,AURA MARINA RECINOS DE FÚNES,PATRICIA LORENA GONZALEZ LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0022-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA ZACULEU,79345204,AURA MARINA RECINOS DE FÚNES,EDVIN OTONIEL ALVARADO GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0023-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA LO DE HERNANDEZ,33355450,AURA MARINA RECINOS DE FÚNES,CÉSAR AUGUSTO HERNÁNDEZ Y HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0024-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO TOJOCAZ ALDEA SAN LORENZO,49552373,MIRZA YOJANA LÓPEZ BRIONES,MARIA ALEJANDRA RAMOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0025-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA SUNUL,45464292,MIRZA YOJANA LÓPEZ BRIONES,MIRIAM TELMA HERRERA MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0026-43,13-002,HUEHUETENANGO,HUEHUETENANGO,"EORM ""ALICIA ROJAS DE PALACIOS""",ALDEA EL CARRIZAL NO. 2,58919379,MIRZA YOJANA LÓPEZ BRIONES,EDVIN ANIBAL SAMAYOA CASTAÑEDA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0027-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM ESTHER MARROQUIN SOLORZANO DE PALACIOS,1A. AVENIDA 6-417 ZONA 3 PRIMER CARRIZAL,48512977,MIRZA YOJANA LÓPEZ BRIONES,DELMAR LEONEL CORTÉS BARRIOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0028-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA TALMICHE,,MIRZA YOJANA LÓPEZ BRIONES,ERICK GIOVANY LÓPEZ LUCAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0029-43,13-003,HUEHUETENANGO,HUEHUETENANGO,"EORM ""MARIA ELVA RECINOS CASTILLO""",ALDEA LLANO GRANDE,56860197,AURA MARINA RECINOS DE FÚNES,MAIRA SURAMA GARCÍA ARGUETA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0030-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA OCUBILA,53061272,MIRZA YOJANA LÓPEZ BRIONES,ANA CAROLINA MARTÍNEZ MÉNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0031-43,13-003,HUEHUETENANGO,HUEHUETENANGO,"EORM ""LICENCIADO ALEJANDRO MALDONADO AGUIRRE""",ALDEA LAS LAGUNAS,57115354,AURA MARINA RECINOS DE FÚNES,MAUSELIO HERIBERTO MATIAS CRUZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0032-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA SAN LORENZO,31529689,MIRZA YOJANA LÓPEZ BRIONES,HENRY GIOVANI VÁSQUEZ MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0033-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA JUMAJ,53437899,MIRZA YOJANA LÓPEZ BRIONES,SERGIO ROBERTO MARTÍNEZ NORIEGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0034-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA LA ESTANCIA,57751915,AURA MARINA RECINOS DE FÚNES,AURA AZUCENA LÓPEZ HIDÁLGO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0035-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA CAMBOTE,79344386,MIRZA YOJANA LÓPEZ BRIONES,JORGE LUIS MÉRIDA MONTERROSO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0036-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA HOJECHEJEL,53119524,MIRZA YOJANA LÓPEZ BRIONES,SERGIO OBDULIO CANO GÓMEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0037-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA LAS RUINAS DE ZACULEU,59046844,AURA MARINA RECINOS DE FÚNES,MERVIN OBDELÍN RIVERA MONJARÁS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0038-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA CHIVACABÉ,58945193,MIRZA YOJANA LÓPEZ BRIONES,SANTOS CRISTINO PÉREZ LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0039-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,"ALDEA CORRAL CHIQUITO, ZONA 8",77648396,AURA MARINA RECINOS DE FÚNES,FREDY ROLANDO SOSA VÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0040-43,13-002,HUEHUETENANGO,HUEHUETENANGO,"EORM ""ADRIÁN RECINOS""",ALDEA CHIMUSINIQUE ZONA 12,77681930,MIRZA YOJANA LÓPEZ BRIONES,ILCE LUCRECIA MARTÍNEZ GONZÁLEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0041-43,13-003,HUEHUETENANGO,HUEHUETENANGO,"EORM ""MIGUEL SANTIAGO SAJCHÉ RÍOS""",ALDEA CHINACÁ,33266976,AURA MARINA RECINOS DE FÚNES,ANGELA MARIA MOLINA ARANA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0042-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO CANCELAJ ALDEA SAN LORENZO,57211841,MIRZA YOJANA LÓPEZ BRIONES,OTILIA VARGAS ARGUETA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0043-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA CHIQUILIABAJ,37157563,MIRZA YOJANA LÓPEZ BRIONES,NATALIA ARGUETA CUYUCH,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0044-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA EL OREGANO,77627174,AURA MARINA RECINOS DE FÚNES,CARLOS EDUARDO MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0045-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO LLANO GRANDE ALDEA LA ESTANCIA,,AURA MARINA RECINOS DE FÚNES,NORBERTO FELIPE AGUSTÍN RAMOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0046-43,13-002,HUEHUETENANGO,HUEHUETENANGO,"EORM CANTÓN LO DE CHÁVEZ, ""LUIS DESIDERIO HERNÁNDEZ LOPEZ""",ALDEA OCUBILA,50395617,MIRZA YOJANA LÓPEZ BRIONES,LIDYA ARACELY SALOJ YAXÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0047-43,13-002,HUEHUETENANGO,HUEHUETENANGO,"EORM ""PROFESOR RUDY MANUEL LOPEZ LOPEZ""",CANTON LA LAGUNA ALDEA CHINACA,30160467,MIRZA YOJANA LÓPEZ BRIONES,DILMA GEIDY LÓPEZ RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0048-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,CANTON LA BARRANCA ALDEA LA ESTANCIA,31777134,AURA MARINA RECINOS DE FÚNES,HÉCTOR ARMANDO PALACIOS MÉNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0049-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,"CASERIO TERRERO ALTO, ALDEA EL TERRERO",46262849,AURA MARINA RECINOS DE FÚNES,INGRID MAGDALI PEREZ ALFARO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0050-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,ALDEA EL CARRIZAL ARRIBA,54741456,MIRZA YOJANA LÓPEZ BRIONES,HUGO ROLANDO MARTÍNEZ MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0051-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO XINAXOJ ALDEA TOJSALE,53504203,MIRZA YOJANA LÓPEZ BRIONES,FRANCIS JOEL LÓPEZ ALVARADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0052-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO SUCUJ ALDEA LA ESTANCIA,37962825,AURA MARINA RECINOS DE FÚNES,KAREN ADELAIDE RECINOS GONZÁLEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0053-43,13-002,HUEHUETENANGO,HUEHUETENANGO,EORM,CASERIO LOS AGUACATILLOS,,MIRZA YOJANA LÓPEZ BRIONES,GILMA FLORIDALMA RUEDA MEDRANO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0054-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,CANTON POSH ALDEA LA ESTANCIA,57413065,AURA MARINA RECINOS DE FÚNES,MARCELINO ARIEL GARCÍA MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0055-43,13-003,HUEHUETENANGO,HUEHUETENANGO,EORM,"ALDEA ZACULEU RUINAS II, ZONA 9",40061196,AURA MARINA RECINOS DE FÚNES,IRIS MARICIELO ALBORES DOMÍNGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
