0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0034-45,18-007,IZABAL,PUERTO BARRIOS,INEBE CON ORIENTACION OCUPACIONAL DR. LUIS PASTEUR,9 AVENIDA 14 Y 17 CALLES,79480792,EDVIN ADOLFO MORATAYA MENJIVAR,OLGA LETICIA TENAS MARTINEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0035-45,18-007,IZABAL,PUERTO BARRIOS,INEB ADSCRITO A LA ESCUELA NACIONAL DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE Y 11 AVENIDA,79524783,EDVIN ADOLFO MORATAYA MENJIVAR,SILVIA SUCELY ABREGO SALVADOR,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0036-45,18-007,IZABAL,PUERTO BARRIOS,INEB ADSCRITO A LA ESCUELA NACIONAL DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE ENTRE 11 Y 12 AVENIDA,59792605,EDVIN ADOLFO MORATAYA MENJIVAR,SILVIA LETICIA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-01-0045-45,18-008,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO CRISTO REY,10A CALLE ENTRE 8A Y 9A AVENIDAS,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,HILCIA TRINIDAD MORALES LIMA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0095-45,18-007,IZABAL,PUERTO BARRIOS,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA ENTRE RIOS,42053417,EDVIN ADOLFO MORATAYA MENJIVAR,VICENTA MÉNDEZ RAMÍREZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0109-45,18-007,IZABAL,PUERTO BARRIOS,INEB MIGUEL ANGEL ASTURIAS,ALDEA SANTO TOMAS DE CASTILLA,79484144,EDVIN ADOLFO MORATAYA MENJIVAR,GERBER GIOVANNI NOVA PAZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0110-45,18-007,IZABAL,PUERTO BARRIOS,IEBC DE ENSEÑANZA,ALDEA SANTO TOMAS DE CASTILLA,58529698,EDVIN ADOLFO MORATAYA MENJIVAR,WALTER ENRIQUE LÓPEZ PEREIRA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0114-45,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO PRIVADO MIXTO ECOLOGICO ""CAMPO Y VIDA""",KILOMETRO 289 ALDEA AGUA CALIENTE,45261770-46007362,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARCO ANTONIO PÉREZ MONROY,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0141-45,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO CRISTIANO PRIVADO MIXTO ""CRISTO VIENE""",ALDEA ENTRE RIOS,40620273,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,GRICELDA MAGALY LEMUS CALDERON,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
