CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0321-41,18-003,IZABAL,PUERTO BARRIOS,"COPB ANEXA A EORM INTEGRAL ""SALVADOR EFRAIN VIDES LEMUS",ALDEA SANTO TOMÁS DE CASTILLA,59672495,MARILIN JULISSA CRUZ ESTRADA,ROSA ORFILIA ESQUIVEL AVILA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0322-41,18-005,IZABAL,PUERTO BARRIOS,"COPB ANEXA A EORM ""TOMAS CAAL ICO""",ALDEA SAN PEDRO LA COCONA,59678470,ROSMERY YOHANA GARCIA ESQUIVEL,MARÍA CRISTINA OLIVA DE LA CRUZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0372-41,18-004,IZABAL,PUERTO BARRIOS,COPB NATALIA GORRIZ VIUDA DE MORALES,4A. AVENIDA 5A. CALLE,79482598,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,CLAUDIA BERNARDA ESCOBEDO LEIVA,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-2886-41,18-004,IZABAL,PUERTO BARRIOS,COPB ANEXO A EOUM 15 DE SEPTIEMBRE,4A. AV. 5A. Y 6A. CALLES,34503585,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,REYNA CONCEPCIÓN HERNÁNDEZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0111-41,18-014,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA CHACALTE,48906189,EDY RENE BARRIENTOS GARCIA,ESTEBAN XOL PACHAM,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0112-41,18-014,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA TAMAGAS CREEK,32517424,EDY RENE BARRIENTOS GARCIA,CARLOS ENRIQUE XOL PACHAM,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0113-41,18-014,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA GUITARRA,79480009,EDY RENE BARRIENTOS GARCIA,SALVADOR CHOLOM SAQUIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0114-41,18-014,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA SEARRANX,45004584,EDY RENE BARRIENTOS GARCIA,LUIS OLIVERIO CHOC COC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0117-41,18-011,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA LAGUAIRA,31595044,JUAN OSVALDO ESTERO MARTINEZ,DELIA ACAL CHOCOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-02-0123-41,18-040,IZABAL,LIVINGSTON,COPB ANEXO A EORM,ALDEA PLAN GRANDE QUEHUECHE,35766162,LORENZO VILLANUEVA COY,DEYSI EUNICE LÓPEZ LEMUS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
