CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0014-43,18-004,IZABAL,PUERTO BARRIOS,EOUM NO. 1 RAFAEL LANDIVAR,4A. AVENIDA 5A. Y 6A. CALLES,54157879,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,BETZY ROXANA CHIGUA REYES,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0015-43,18-004,IZABAL,PUERTO BARRIOS,EOUM ERNESTO R. LARA,15 CALLE Y 7A. AVENIDA,54601143,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,ESTELA HERRERA LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0016-43,18-004,IZABAL,PUERTO BARRIOS,EOUM NO.1 DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,54521572,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,BRENDA PATRICIA POCASANGRE DUARTE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0017-43,18-004,IZABAL,PUERTO BARRIOS,EOUM NO.3 MARIO MENDEZ MONTENEGRO,19 CALLE Y 14 AVENIDA,56325260,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,ANGELA IRAIDA ESTRADA JUAREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0018-43,18-004,IZABAL,PUERTO BARRIOS,EOUM NO. 2 PROFA. JUDITH ARACELY PAZ MORALES DE DIAZ,14 CALLE 11 Y 12 AVENIDA,79487572,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,LIDYA ROSMERY MEJIA BARRERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0019-43,18-004,IZABAL,PUERTO BARRIOS,"EOUM NO. 2 ""PROFESORA ALBA MARINA RUIZ FAJARDO""",15 CALLE ENTRE 7A. Y 8A. AVENIDAS,40651474,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,ALBA MARINA RUIZ FAJARDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0020-43,18-004,IZABAL,PUERTO BARRIOS,EOUM 15 DE SEPTIEMBRE,4AV. ENTRE 5A. Y 6A. CALLE,34503585,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,REYNA CONCEPCIÓN HERNÁNDEZ GARCÍA,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0021-43,18-004,IZABAL,PUERTO BARRIOS,"EOUM NO. 4 ""PROFESOR PABLO DE JESUS LINARES FLORES""",19 CALLE Y 14 AVENIDA.,52959314,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,HILCIA TRINIDAD MORALES LIMA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0022-43,18-004,IZABAL,PUERTO BARRIOS,EOUM 'PROFESORA ANA SUCELY CALDERON MARIN',COLONIA EL PROGRESO,42703104,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,MERCEDES MARILÚ UCELO SOSA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0023-43,18-004,IZABAL,PUERTO BARRIOS,EOUM 'LA ESPERANZA' JM,"10A. CALLE ENTRE 18 Y 19 AVENIDAS, BARRIO LA ESPERANZA",32960428,ALIDA CONSUELO VILLEDA MORALES DE CARRERA,ZOILA MARITZA BARRIENTOS MARMOL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
