0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0099-45,21-002,JALAPA,JALAPA,INEB ADSCRITO AL INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,"CALLE TRANSITO ROJAS, 4-82 ZONA 2, BARRIO SAN FRANCISCO",79228073,JORGE ADELINO PEREZ UCELO,HILDA MAGALY PERALTA ALFARO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0100-45,21-017,JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA EL CHAGUITE,42957276,MANUEL DANILO REYES GONZALEZ,MANUEL ARMANDO AGUILAR AGUILAR,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0102-45,21-002,JALAPA,JALAPA,INEB ADSCRITO AL INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS,"AVENIDA CHIPILAPA 1-65, ZONA 2",79227738,JORGE ADELINO PEREZ UCELO,IRMA YOLANDA FIGUEROA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0103-45,21-002,JALAPA,JALAPA,INEBE CON ORIENTACION OCUPACIONAL DR. SILVANO ANTONIO CARIAS RECINOS,CALZADA JUAN JOSE BONILLA 3-02 ZONA 2 BARRIO SAN FRANCISCO,30180455,JORGE ADELINO PEREZ UCELO,MARCO ANTONIO ESTRADA LEMUS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0106-45,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO 'LICEO JALAPA',"CALLE TRANSITO ROJAS 7-60, ZONA 1",79220013,VICTOR MANUEL PORTILLO RECINOS,EFRAÍN DE JESÚS SALAZAR PERALTA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA
21-01-0108-45,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACIÓN DIVERSIFICADA EL PORVENIR,"4A. AVENIDA 2-66 ZONA 2, BARRIO SAN FRANCISCO",79223033-79224958,VICTOR MANUEL PORTILLO RECINOS,ROSA CORALIA PINEDA GALLARDO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0208-45,21-017,JALAPA,JALAPA,INEB DE TELESECUNDARIA,ALDEA ANSHIGUA,53438049,MANUEL DANILO REYES GONZALEZ,ELÍAS ARANA BOCANEGRA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0209-45,21-005,JALAPA,JALAPA,INEB DE TELESECUNDARIA,"CASERIO LAGUNA DE ITZACOBA, ALDEA SASHICO",41389647,THELMA YANETH POLANCO PEREZ DE CAMEY,GLADIS AYDEE SANDOVAL LEMUS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0210-45,21-017,JALAPA,JALAPA,INEB DE TELESECUNDARIA,ALDEA RIO BLANCO,53495962,MANUEL DANILO REYES GONZALEZ,MARVIN ERNESTO GODOY GARRIDO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
