CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0008-45,22-014,JUTIAPA,JUTIAPA,INEB CON ORIENTACION OCUPACIONAL LIC. MARIO E. NAJERA FARFAN,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441126,MARCO TULIO CASTILLO MELGAR,LINDA EVELIN ESPINOZA RECINOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0010-45,22-003,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,78441907,REMBERTO RECINOS SARCEÑO,ESLY OLIMPIA VEGA CANÚZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0013-45,22-001,JUTIAPA,JUTIAPA,IPMB LICEO JUTIAPA,4A. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ALVARO CISNEROS QUIÑONEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0016-45,22-001,JUTIAPA,JUTIAPA,IPMB COLEGIO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,GREDY ESQUIVEL VALDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0017-45,22-003,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,REMBERTO RECINOS SARCEÑO,DELMY ASTRID MÉNDEZ POLANCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0128-45,22-001,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO BILINGUE,9A. AVE. 7-59 ZONA 1,78442193,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,OSIEL DIONICIO VIVAR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0134-45,22-001,JUTIAPA,JUTIAPA,"""LICEO CREZCO APRENDIENDO""",7A. CALLE 5-35 ZONA 3,30670640,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,SABRINA MARISOL FLORES GUDIEL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0223-45,22-001,JUTIAPA,JUTIAPA,"COLEGIO PARTICULAR MIXTO INTEGRAL ""EVOLUCION""",7A. CALLE 8A. AVENIDA 7-49 ZONA 3 BARRIO EL CHAPARRON,57313172,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,MIGUEL ANGEL MARTINEZ DE LA VEGA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0225-45,22-014,JUTIAPA,JUTIAPA,INEB,"CALLE ""LIC. MARIO DANIEL CASTRO SALGUERO"", COMPLEJO EDUCATIVO",56252792,MARCO TULIO CASTILLO MELGAR,OLGA MARINA GONZALEZ SARCEÑO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0226-45,22-005,JUTIAPA,JUTIAPA,INEB DE TELESECUNDARIA,CASERIO LA PERLA MARIA MONTAÑAS,57570244,EDGAR ARNULFO GONZALEZ GUDIEL,FRANCISCO RIVERA MATOM,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0227-45,22-014,JUTIAPA,JUTIAPA,INEB DE TELESECUNDARIA,ALDEA CHICO HILARIO,50079120,MARCO TULIO CASTILLO MELGAR,JULIA VERÓNICA FIGUEROA REYES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0228-45,22-005,JUTIAPA,JUTIAPA,INEB,ALDEA CERRO COLORADO,,EDGAR ARNULFO GONZALEZ GUDIEL,NOE ERUBEY MÉNDEZ NAVARRO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0260-45,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO EL PILAR,5TA. CALLE 5-09 ZONA 1,78446397,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,CELESTE ANGELICA JUÁREZ MARTÍNEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0279-45,22-037,JUTIAPA,JUTIAPA,"COLEGIO PARA TRABAJADORES ""PROF. CARLOS ARMANDO CAMBARA GARCIA""",ENTRADA AL COMPLEJO EDUCATIVO 0-16 ZONA 3,58251449,SANDRA NINNETH BONILLA ARCHILA,SANDRA DAMIRA LÓPEZ RAMÍREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0281-45,22-005,JUTIAPA,JUTIAPA,INEB TELESECUNDARIA,CASERIO EL RINCONCITO CANTON RIO DE LA VIRGEN,45772974,EDGAR ARNULFO GONZALEZ GUDIEL,RONALD FRANCISCO GIRÓN RAMÍREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0296-45,22-008,JUTIAPA,JUTIAPA,INEB DE TELESECUNDARIA,ALDEA JICARO GRANDE,58795320,EMMANUEL MONZON HERRERA,MILDRED YESSENIA MARTÍNEZ CORADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0303-45,22-003,JUTIAPA,JUTIAPA,COLEGIO NUEVOS HORIZONTES,"CASERÍO VILLA HERMOSA, CANTÓN POTRERO GRANDE",33014043,REMBERTO RECINOS SARCEÑO,ESTRELLITA NORICELDA RAMÍREZ CABRERA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0308-45,22-001,JUTIAPA,JUTIAPA,CENTRO DE ESTUDIOS DIVERSIFICADOS -CED- JUTIAPA,ALDEA LAS CRUCITAS,41589757,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ANA MARÍA SANDOVAL MORÁN,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0309-45,22-003,JUTIAPA,JUTIAPA,"LICEO EDUCATIVO INNOVADOR ""LEISAR""","7A. AVENIDA 5-24, BARRIO EL CHAPARRON, ZONA 3,",78441031,REMBERTO RECINOS SARCEÑO,KARLA YESENIA FLORES LÓPEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0311-45,22-037,JUTIAPA,JUTIAPA,"LICEO EDUCATIVO INNOVADOR ""LEISAR""","7A. AVENIDA 5-24, BARRIO EL CHAPARRON, ZONA 3,",78441031,SANDRA NINNETH BONILLA ARCHILA,REGNIER ANTONIO VELÁSQUEZ DONIS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0313-45,22-037,JUTIAPA,JUTIAPA,COLEGIO EL BOSQUE,ALDEA EL CHILTEPE,41875134,SANDRA NINNETH BONILLA ARCHILA,INGRID CAROL JUAREZ DOMINGUEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0324-45,22-013,JUTIAPA,JUTIAPA,LICEO ORIENTAL,"KILOMETRO 116 CARRETERA INTERAMERICANA, ALDEA CERRO GORDO",42198113,RONY ESMELTZER RAMOS QUIÑONEZ,ADELINA PAIZ ALAY,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0327-45,22-001,JUTIAPA,JUTIAPA,COLEGIO GUATEMALA,CALLEJON GARCIA GRANADOS 1-16 ZONA 1,78440113,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,EBA CANDELARIA LÉMUS RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0330-45,22-003,JUTIAPA,JUTIAPA,"""LICEO TECNOLOGICO BILINGUE GENESIS""","7A. CALLE Y 8A. AVENIDA 7-49 ZONA 3, BARRIO EL CHAPARON",78446178,REMBERTO RECINOS SARCEÑO,ALBA YESENIA ALARCON HERNANDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0331-45,22-003,JUTIAPA,JUTIAPA,"""LICEO TECNOLOGICO BILINGUE GENESIS""","7A. CALLE Y 8A. AVENIDA 7-49 ZONA 3, BARRIO EL CHAPARON",78446178,REMBERTO RECINOS SARCEÑO,ALBA YESENIA ALARCON HERNANDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
