0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0012-43,22-013,JUTIAPA,JUTIAPA,EOUV TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,78440089,RONY ESMELTZER RAMOS QUIÑONEZ,RODOLFO EDUARDO ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0023-43,22-001,JUTIAPA,JUTIAPA,EOUV LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",56978714,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ADELINA PAIZ ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0024-43,22-001,JUTIAPA,JUTIAPA,'LICEO JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,YURI GILDARDO HERNÁNDEZ ESTRADA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0025-43,22-001,JUTIAPA,JUTIAPA,EOUM,BARRIO EL CONDOR,78443473,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,SANDRA DINORA POLANCO SALGUERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0026-43,22-013,JUTIAPA,JUTIAPA,EOUM TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,78443673,RONY ESMELTZER RAMOS QUIÑONEZ,SILVIA LILIANA AMAYA RIVERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0027-43,22-001,JUTIAPA,JUTIAPA,EOUN LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",78441846,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,RUTH NATIVIDAD MÉNCOS RAMÍREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0029-43,22-003,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,"ENTRADA AL COMPLEJO EDUCATIVO 0-16, ZONA 3",78441907,REMBERTO RECINOS SARCEÑO,OLIMPIA BEATRIZ SALGUERO TREJO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0030-43,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,SILVIA VICTORIA MICHICOJ LÓPEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0033-43,22-014,JUTIAPA,JUTIAPA,EORM,ALDEA LOS APANTES,45454545,MARCO TULIO CASTILLO MELGAR,KAREN ELENA RAMOS RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
