CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0034-45,17-030,PETEN,FLORES,CENTRO EDUCATIVO PETEN (CEP),BARRIO SANTA ELENA,42509151,RODOLFO MEDINA,KARLA YAMILETH NÁJERA ARIAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0037-45,17-001,PETEN,FLORES,INEBE ADSCRITO ESCUELA NORMAL RURAL NO. 5 JULIO E. ROSADO PINELO,SANTA ELENA,78425736,RODOLFO MEDINA,VAYRON ANTONIO CONTRERAS POZADAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0055-45,17-030,PETEN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL -IMEF-,"4A. AVENIDA 3A. CALLE, ZONA 2, SANTA ELENA DE LA CRUZ",41118747,RODOLFO MEDINA,ESTHER NOEMI PINELO RAMÍREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0059-45,17-001,PETEN,FLORES,INEB,"5TA.AV.5-50-ZONA 2 SANTA ELENA,",54754589,RODOLFO MEDINA,KENNY ADALBERTO CORDOVA HERNANDEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0061-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO EL PORVENIR,30324828,RODOLFO MEDINA,GLENDA MILITZA ALDANA GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0062-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA MACANCHE,54935503,RODOLFO MEDINA,GLENDA YANIRA TUN SALAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0072-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,CASERIO LA MAQUINA,45004102,RODOLFO MEDINA,MILTON OTTONIEL VALDEZ OLIVARES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0077-45,17-030,PETEN,FLORES,CENTRO EDUCATIVO MODELO,COLONIA MODELO DE SANTA ELENA DE LA CRUZ,79261414,RODOLFO MEDINA,FRANCISCO VALENTIN SOZA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0092-45,17-030,PETEN,FLORES,COLEGIO CRISTIANO EL-HASHAMAYIM,"7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ",79261812,RODOLFO MEDINA,JORGE ULICES RUANO CANO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0093-45,17-030,PETEN,FLORES,INSTITUTO TECNOLOGICO HOWARD W. HUNTER,"0 CALLE 0-65 ZONA 1, CALZADA VIRGILIO RODRIGUEZ MACAL",79262016,RODOLFO MEDINA,OLGA MARINA VÉLIZ PALENCIA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0109-45,17-030,PETEN,FLORES,"CENTRO EDUCATIVO CRISTIANO ""GÉNESIS""",ALDEA PAXCAMAN,31272157,RODOLFO MEDINA,ALMEIDA ESTER BIN TENI,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0113-45,17-030,PETEN,FLORES,"""CENTRO EDUCATIVO INTEGRAL -CEI-""","2A. AVENIDA B, ZONA 2, PRIMERA LOTIFICACION, SANTA ELENA DE LA CRUZ",79261634,RODOLFO MEDINA,SONIA MARIELA MÉNDEZ MÉRIDA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0126-45,17-030,PETEN,FLORES,COLEGIO INTEGRADO DE EDUCACION PROFESIONAL DE PETEN-CIEPP-,ALDEA IXLU,44602215,RODOLFO MEDINA,LUBIA ROXANA JIMÉNEZ RIVERA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0137-45,17-030,PETEN,FLORES,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8VA.AV.3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ,59393916,RODOLFO MEDINA,CARLOS ENRIQUE AUGUST VELIZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0138-45,17-030,PETEN,FLORES,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8VA.AV.3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ,59393916,RODOLFO MEDINA,MAYRA AZUCENA CALANCHE VÁSQUEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-0141-45,17-030,PETEN,FLORES,COLEGIO MIXTO SENDERO SHAIEL,ALDEA PAXCAMAN,30748472,RODOLFO MEDINA,NEYDI MARISOL CAMBRANES BURGOS,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0147-45,17-030,PETEN,FLORES,CENTRO EDUCTIVO CRISTIANO GENESIS,ALDEA PAXCAMAN,31272157,RODOLFO MEDINA,ALMEIDA ESTER BIN TENI,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-01-0157-45,17-048,PETEN,FLORES,CEEX,FLORES,59614446,SANTIAGO CRUZ SERRANO,DAYRIN DAYANA SALES RODRIGUEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,PETÉN
17-01-0158-45,17-001,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA EL CAOBA,42113664,RODOLFO MEDINA,MAGDALENA BETZEY RIVERA GARCIA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0160-45,17-030,PETEN,FLORES,COLEGIO DE EDUCACION MEDIA SAN ISIDRO,ALDEA IXLU,55164373,RODOLFO MEDINA,RUTILIA SALGUERO CASTRO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),PETÉN
17-01-0162-45,17-001,PETEN,FLORES,CENTRO EDUCATIVO MODELO,COLONIA MORALES,42900041,RODOLFO MEDINA,FRANCISCO VALENTIN SOZA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),PETÉN
17-01-0164-45,17-030,PETEN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL-IMEF-,4TTA.AVENIDA Y 3RA.CALLEZONA 2 SANTA ELENA,41118747,RODOLFO MEDINA,ESTHER NOEMI PINELO RAMÍREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),PETÉN
17-01-0166-45,17-030,PETEN,FLORES,"CENTRO EDUCATIVO CRISTIANO ""GÉNESIS""","ZONA 0, CALLE ESCUELA PRIMARIA, ALDEA PAXCAMAN",48374505,RODOLFO MEDINA,ALMEIDA ESTER BIN TENI,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),PETÉN
17-01-0168-45,17-001,PETEN,FLORES,INSTITUTO DE EDUCACION Y BACHILLERATO CAMINO A LA LIBERTAD,CENTRO DE DETENCION DEPARTAMENTAL,49663881,RODOLFO MEDINA,DAVID OTONIEL GARCIA POLANCO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-1164-45,17-001,PETEN,FLORES,IEBC,CASERIO IXLU,50453676,RODOLFO MEDINA,RUTILIA SALGUERO CASTRO,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-2433-45,17-030,PETEN,FLORES,LICEO MODERNO EN COMPUTACION (LIMCO),CALZADA RODRIGUEZ MACAL 6-40 ZONA 2 STA. ELENA,79261015,RODOLFO MEDINA,NERY GÛILBERTO RALDA MALDONADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-2722-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA PAXCAMAN,,RODOLFO MEDINA,REYNA MARGARITA RIVERA GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-2723-45,17-001,PETEN,FLORES,"INEB DE TELESECUNDARIA ""FRANCISCO VALENTÍN SOZA""",ALDEA SAN MIGUEL,58655498,RODOLFO MEDINA,JOSÉ MARÍA CHÁN MAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-2830-45,17-001,PETEN,FLORES,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED #11,ALDEA EL REMATE,31085197,RODOLFO MEDINA,ALBA LUZ ARANA BARRERA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-3551-45,17-030,PETEN,FLORES,INSTITUTO COMERCIAL VILLA CONCEPCION,BARRIO VILLA CONCEPCION,79248180,RODOLFO MEDINA,BÁRBARA MARIANELA MELGAR CEBALLOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-3662-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA UAXACTUN,41968893,RODOLFO MEDINA,SULEMA LISBETH GOMEZ HERRERA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-3819-45,17-001,PETEN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL IMEF,4A. AVENIDA Y 3A. CALLE ZONA 2,79248505,RODOLFO MEDINA,MARIA ANDREA SOTO FUENTES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-01-3875-45,17-001,PETEN,FLORES,CENTRO EDUCATIVO NAZARENO,"4A. CALLE A 5-55 ZONA 1, SANTA ELENA DE LA CRUZ",79263311,RODOLFO MEDINA,MARÍA INES LÓPEZ OCHAETA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-4092-45,17-001,PETEN,FLORES,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO. 429,ALDEA EL NARANJO,32193824,RODOLFO MEDINA,JOSE DANIEL GOMEZ HERRERA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),PETÉN
17-01-4130-45,17-001,PETEN,FLORES,INEB DE TELESECUNDARIA,ALDEA LAS VIÑAS,56246798,RODOLFO MEDINA,LICDA. IRIS JANETH RIVERA MENÉNDEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-02-0001-45,17-002,PETEN,SAN JOSE,INEB,BARRIO EL PORVENIR,40354260,LILIA SAUDITA SUNTECUN CHAN,TANIA AZUCENA TESUCÚN COHUOJ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-02-0002-45,17-002,PETEN,SAN JOSE,INEB DE TELESECUNDARIA,CASERIO SAN PEDRO,31596098,LILIA SAUDITA SUNTECUN CHAN,ADEMIR ESSAU QUIXCHÁN CHÍ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-02-0004-45,17-002,PETEN,SAN JOSE,INEB DE TELESECUNDARIA,CASERIO COROZAL,37446412,LILIA SAUDITA SUNTECUN CHAN,ERNESTO ALONSO GE CAMAL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-02-0006-45,17-002,PETEN,SAN JOSE,ESCUELA TALLER SAN JOSE,CALLE PRINCIPAL PROSPERO PENADOS DEL BARRIO,49198127,LILIA SAUDITA SUNTECUN CHAN,EDUARDO ROQUELINO TUT TESUCÚN,BASICO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),PETÉN
17-02-2726-45,17-002,PETEN,SAN JOSE,INEB DE TELESECUNDARIA,ALDEA JOBOMPICHE,31531160,LILIA SAUDITA SUNTECUN CHAN,ROLANDO VERMINO CHACACH COLAJ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-0005-45,17-003,PETEN,SAN BENITO,"CENTRO EDUCATIVO ""BETHANIA""",6A. CALLE ZONA 4 BARRIO LA PAZ,78238216,DEYLIN ANTONIO ALVAREZ ALDANA,DEBORA LISSETH MILIAN CARTAGENA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-0020-45,17-003,PETEN,SAN BENITO,INSTITUTO MUNICIPAL DE EDUCACION BASICA,BARRIO LA CARIDAD,49329446,DEYLIN ANTONIO ALVAREZ ALDANA,CRISTIAN VERONICA LIMA CUNIL,BASICO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0021-45,17-003,PETEN,SAN BENITO,LICEO DE CIENCIAS TECNICAS EL REDENTOR,BARRIO 3 DE ABRIL.,47981031,DEYLIN ANTONIO ALVAREZ ALDANA,MAYRA AIDÉE CARBAJAL GARCÍA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-03-0022-45,17-003,PETEN,SAN BENITO,INEB,BARRIO VALLE NUEVO,48822992,DEYLIN ANTONIO ALVAREZ ALDANA,GEDRIK ROBERTO SEGURA CONTRERAS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0027-45,17-003,PETEN,SAN BENITO,"CENTRO EDUCACIONAL DE CIENCIAS CONTABLES ""CECCON""",7A. AVENIDA Y 5A. CALLE BARRIO LA ERMITA,31272478,DEYLIN ANTONIO ALVAREZ ALDANA,MIGUEL ANGEL GÓNGORA PINELO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-03-0028-45,17-003,PETEN,SAN BENITO,INEB DE TELESECUNDARIA,ALDEA SAN ANTONIO,,DEYLIN ANTONIO ALVAREZ ALDANA,ELLIER MOISÉS LUCAS MEJÍA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0063-45,17-003,PETEN,SAN BENITO,INEB CON ORIENTACION OCUPACIONAL AGROPECUARIA,BARRIO TIKAL,55140165,DEYLIN ANTONIO ALVAREZ ALDANA,NADIA MARICELA MORALES VICENTE,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-0064-45,17-003,PETEN,SAN BENITO,IEBC LICENCIADO ALVARO NOLASCO TRUJILLO CORZO,BARRIO 3 DE ABRIL,79263297,DEYLIN ANTONIO ALVAREZ ALDANA,ALVARO NOLASCO TRUJILLO CORZO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
17-03-0065-45,17-030,PETEN,SAN BENITO,IPMB LICEO PALERMO,16 CALLE 7-4O ZONA 1,79262965,RODOLFO MEDINA,MANUEL TRINIDAD BURGOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0078-45,17-003,PETEN,SAN BENITO,CENTRO EDUCATIVO EXTRAESCOLAR,BARRIO NUEVA ESPERANZA,42549357,DEYLIN ANTONIO ALVAREZ ALDANA,ANA JUDITH NAJERA SOLIS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-03-0082-45,17-003,PETEN,SAN BENITO,CENTRO EDUCATIVO PRIVADO MIXTO DE EDUCACION BASICA Y DIVERSIFICADO-CEPMEBYD,COLONIA VISTA HERMOSA,56903019,DEYLIN ANTONIO ALVAREZ ALDANA,NORLIN ARIEL LÓPEZ DUQUE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0083-45,17-003,PETEN,SAN BENITO,INEB,COLONIA ITZA,38140850,DEYLIN ANTONIO ALVAREZ ALDANA,EDVIN FIDEL CORADO REVOLORIO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0090-45,17-003,PETEN,SAN BENITO,CENTRO EDUCATIVO PRIVADO MIXTO DE EDUCACIÓN MEDIA _CEPMEM,BARRIO BELLOS HORIZONTES,47405813,DEYLIN ANTONIO ALVAREZ ALDANA,EDUARDO FRANCISCO GÓNGORA LÓPEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0093-45,17-003,PETEN,SAN BENITO,LICEO INTEGRAL NUEVA GENERACION - LING-,BARRIO EL PEDREGAL,41821593,DEYLIN ANTONIO ALVAREZ ALDANA,MIGUEL ANGEL MEJIA FLORES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0096-45,17-003,PETEN,SAN BENITO,COLEGIO MADRE ANTONIA LALIA HERMANAS DOMINICAS DE SAN SISTO VECCHIO,COLONIA JUAREZ,33812286,DEYLIN ANTONIO ALVAREZ ALDANA,ANGELA MERECI LEMUS MENDOZA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-0097-45,17-003,PETEN,SAN BENITO,LICEO INTEGRAL NUEVA GENERACION - LING-,BARRIO EL PEDRAGAL,41821593,DEYLIN ANTONIO ALVAREZ ALDANA,MIGUEL ANGEL MEJIA FLORES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-03-0100-45,17-003,PETEN,SAN BENITO,COLEGIOCRISTIANO BILINGUE MANANTIAL,COLONIA TIKAL,58374505,DEYLIN ANTONIO ALVAREZ ALDANA,NIVIA ADALY LARIOS PRADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
17-03-0103-45,17-003,PETEN,SAN BENITO,"LICEO CRISTIANO BILINGÜE ""JEHOVÁ JIREH""",BARRIO EL PORVENIR,78426701,DEYLIN ANTONIO ALVAREZ ALDANA,IVONNE ANITA ORTIZ MORÁN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-03-0114-45,17-003,PETEN,SAN BENITO,CENTRO EDUCATIVO CRISTIANO ADONAI,BARRIO SAN JUAN,42549357,DEYLIN ANTONIO ALVAREZ ALDANA,EDWIN NOÉ MARROQUÍN HERNÁNDEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
17-03-0122-45,17-003,PETEN,SAN BENITO,COLEGIO PRIVADO MIXTO EL FORMADOR,BARRIO 3 DE ABRIL,416707,DEYLIN ANTONIO ALVAREZ ALDANA,JUAN CARLOS MONZON LUTIN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN
