CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-04-0102-41,17-004,PETEN,SAN ANDRES,COPB,BARRIO LA PISTA,31181516,CARLOS MANUEL TESUCUN QUETZAL,EDWIN ALEXSANDER CHAN BATAB,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0030-41,17-029,PETEN,LA LIBERTAD,COPB,BARRIO SAN PEDRO CASERIO TAMARIS LAS VEGAS,33254610,WILBER NERY KILKAN ROSADO,MARTA HERLINDA CAAL CHUB,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0031-41,17-007,PETEN,LA LIBERTAD,COPB,CASERIO SAGRADO CORAZON,49037884,ARIEL ESAU PELAEZ,VICTORIA ROMELIA CAAL BÁ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0033-41,17-008,PETEN,LA LIBERTAD,COPB,CASERIO LA NUEVA,30612192,MARTIR FABIÁN MANGANDID,ELICIA ESPERANZA CHOC CUC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0034-41,17-008,PETEN,LA LIBERTAD,COPB,CASERIO ESPERANCITA I,53616380,MARTIR FABIÁN MANGANDID,FLOR CUCUL CHOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0246-41,17-008,PETEN,LA LIBERTAD,COPB,CASERIO NUEVA JERUSALEN I,31858044,MARTIR FABIÁN MANGANDID,ROMELIA VERONICA MATA RAMÍREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-05-0286-41,17-007,PETEN,LA LIBERTAD,COPB,CASERIO POZO AZUL,45115966,ARIEL ESAU PELAEZ,GLENDA YAMILETH CARRANZA ENRIQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0026-41,17-015,PETEN,SAN LUIS,COPB,CASERIO TIMAX,48923166,DAMIAN AC CAHUEC,ADELAIDA MARINA CABNAL GUITZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0027-41,17-017,PETEN,SAN LUIS,COPB,CASERIO ARROYO SAN MARTIN,45278837,RENE XUC PACHAM,FILOMENA XÓ TIUL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0030-41,17-015,PETEN,SAN LUIS,COPB CASERÍO NACIMIENTO BOBILÁ,CASERIO NACIMIENTO BOBILA,40022320,DAMIAN AC CAHUEC,PETRONA DOLORES CHÉ POP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0031-41,17-015,PETEN,SAN LUIS,COPB,CASERIO PUSILA ABAJO,,DAMIAN AC CAHUEC,NIDIAN MARLENI LÓPEZ FLORES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0032-41,17-017,PETEN,SAN LUIS,COPB,CASERIO EL AGUACATE,46273045,RENE XUC PACHAM,HOVILIA LIVERTINA CAAL POP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-09-0038-41,17-017,PETEN,SAN LUIS,COPB,CASERIO EL AGUACATILLO II,46980827,RENE XUC PACHAM,DOMINGA SOLEDAD MES COHUOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
