CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0005-43,17-001,PETEN,FLORES,"EOUM ""J MIGUEL CASTELLANOS PACHECO""",PETEN,78775308,RODOLFO MEDINA,JUAN CARLOS GONZÁLEZ VÁSQUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0006-43,17-001,PETEN,FLORES,"EOUM JM, TIPO FEDERACION ""JOSE BENITEZ GOMEZ""",ALDEA SANTA ELENA DE LA CRUZ,79262390,RODOLFO MEDINA,ALICIA BEATRIZ GONGORA INECO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0008-43,17-001,PETEN,FLORES,EORM PROFESOR JUAN CONCEPCION ARELLANO MARIN,ALDEA PAXCAMAN,42190960,RODOLFO MEDINA,ELVIRA ARGENTINA PAZ TUN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0009-43,17-001,PETEN,FLORES,EORM,ALDEA EL NARANJO,,RODOLFO MEDINA,ROSA PATRICIA GALDAMEZ ROSADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0010-43,17-001,PETEN,FLORES,EORM 'CESARIO CETINA',ALDEA SAN MIGUEL,54821637,RODOLFO MEDINA,MÉLIDA FLORIDALMA ALVAREZ CÓRDOVA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0011-43,17-001,PETEN,FLORES,EORM,CASERIO ALTAMIRA,58008391,RODOLFO MEDINA,HERBERT ROCAEL LEAL CHAN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0012-43,17-001,PETEN,FLORES,EORM,ALDEA SOCOTZAL,47231797,RODOLFO MEDINA,ESDRAS ABDIAS BATÚN SANDOVAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0013-43,17-001,PETEN,FLORES,EOUM MARTA ROSA MORALES CETINA,ALDEA SANTA ELENA,42809952,RODOLFO MEDINA,MERCEDES ORTÍZ ÁVALOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0014-43,17-001,PETEN,FLORES,EORM,ALDEA EL ZAPOTE,46963915,RODOLFO MEDINA,ALVA LUZ IZAGUIRRE CHÁVEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0015-43,17-001,PETEN,FLORES,EORM,ALDEA EL REMATE,,RODOLFO MEDINA,ANGELA SUSANA GÓMEZ HERRERA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0016-43,17-001,PETEN,FLORES,EORM,ALDEA UAXACTUN,53119938,RODOLFO MEDINA,SANTIAGO AX CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0017-43,17-001,PETEN,FLORES,EORM,ALDEA MACANCHE,42471084,RODOLFO MEDINA,ARABELLA ANASTACIA RAMOS CASTILLO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0018-43,17-001,PETEN,FLORES,EORM,CASERIO LOS TULIPANES,,RODOLFO MEDINA,EMIGDIO RAMON ZETINA CANEK,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
17-01-0019-43,17-001,PETEN,FLORES,EORM,CASERIO LAS VIÑAS,,RODOLFO MEDINA,DIANA CHRISTIAN CRUZ CHOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
