CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0001-41,09-004,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXO A EORM JOSE MARTI,ALDEA SAN JOSE CHIQUILAJA,41965002,DINA RUBI GONZALEZ DE LEON,DANIEL WALTER JUÁREZ IXCATCOY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0173-41,09-004,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXA A EORM,PARAJE BELLA VISTA ALDEA LAS MAJADAS,,DINA RUBI GONZALEZ DE LEON,ERVIN EDUARDO SAQUIC OROZCO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0762-41,09-004,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXO A EORM,CANTON LLANO DEL PINAL,54141915,DINA RUBI GONZALEZ DE LEON,IVAN GIOVANI GARCÍA CALDERÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-2679-41,09-004,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXA A EORM,CHITAY CENTRO,45046870,DINA RUBI GONZALEZ DE LEON,DOANI ETHELVIA CALDERÓN REYES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-3377-41,09-008,QUETZALTENANGO,QUETZALTENANGO,COPB UK AK,36 AVENIDA 9B-88 ZONA 8,59562442,RAMON YAX LAINES,MAURA ELISA VÁSQUEZ DÍAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-02-0032-41,09-009,QUETZALTENANGO,SALCAJA,COPB ANEXA A EORM,CANTON MARROQUIN II,47529301,INGRID MIRTHALA LOPEZ GALINDO,LOURDES MARICELY OVALLE DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-02-3378-41,09-009,QUETZALTENANGO,SALCAJA,COPB ANEXO A EORM CELESTE ANTONIETA HIGUEROS MOLINA,ALDEA SANTA RITA,54173049,INGRID MIRTHALA LOPEZ GALINDO,NAZARIO FELIPE TAX AJTUN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0003-41,09-010,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,SECTOR LAS CATARATAS ALDEA JUSTO RUFINO BARRIOS,55146563,URSULO ROSARIO MAZARIEGOS CIFUENTES,VICTOR FRANCISCO CHAJ GONZÁLEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0004-41,09-010,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,SECTOR PIMUT CENTRO ALDEA LA CUMBRE,47407449,URSULO ROSARIO MAZARIEGOS CIFUENTES,FREDY ADOLFO COLOP ORDÓÑEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-03-0005-41,09-010,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXA A EORM,BARRIO LA PAZ,50092393,URSULO ROSARIO MAZARIEGOS CIFUENTES,ALEJANDRA PÉREZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
