CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-45,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V. HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",31099099,JOSE OSCAR TIPAZ VELASQUEZ,ARAM ALBERT JORDÁN SANDOVAL,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0078-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,'LICEO CRISTIANO SINAI',"CASA FINAL, COLONIA GUMARCAAJ",77551805,GONZALO VENTURA LUX,RICARDO ADOLFO LAYNES GÓMEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0079-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A 6-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0081-45,14-042,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION BASICA POR COOPERATIVA,8A CALLE 2-12 ZONA 2,42316892,OSBERTO FILADELFO RUIZ URÍZAR,HEMBER ROBERTO HERRERA GIRON,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
14-01-0083-45,14-001,QUICHE,SANTA CRUZ DEL QUICHE,"INEBE ""FRAY FRANCISCO JIMENEZ""",5A AVE. 7A CALLE ZONA 5,77563540,JOSE OSCAR TIPAZ VELASQUEZ,MARIA LUISA NATARENO GARCIA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0088-45,14-042,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,ALDEA LA ESTANCIA,47322318,OSBERTO FILADELFO RUIZ URÍZAR,BYRON ALFREDO QUIÑÓNEZ BARRIOS,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0089-45,14-038,QUICHE,SANTA CRUZ DEL QUICHE,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO. 623,"CANTON CHIUL, ALDEA CHUJUYUB",30667957,CARLOS ARMANDO HERNANDEZ OSORIO,ROSARIO ISABEL ROBLES ZAPÓN,BASICO,OFICIAL,RURAL,ABIERTA,BILINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0111-45,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INEB,5A- AVENIDA Y 7A. CALLE ZONA 5,59220199,JOSE OSCAR TIPAZ VELASQUEZ,LEIVI MARILÍ MORALES GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0114-45,14-002,QUICHE,SANTA CRUZ DEL QUICHE,INEB DE TELESECUNDARIA,ALDEA XATINAP CUARTO CENTRO,31395730,CANDELARIO ORDOÑEZ REINOSO,HUGO CÉSAR LAYNES MENDOZA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0165-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0168-45,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MULTIEDUCATIVO ""LA REFORMA""",16 CALLE 7-34 ZONA 4,77563633,GONZALO VENTURA LUX,CARLOS ROBERTO ARRIAGA DEL VALLE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
