CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0001-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,ALDEA LA ESTANCIA,50146436,CANDELARIO ORDOÑEZ REINOSO,AGUSTIN ALEXANDER TAX LUX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0003-41,14-001,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PANAJXIT I,47352355,JOSE OSCAR TIPAZ VELASQUEZ,ENRIQUE MIGUEL ANGEL PÉREZ DAMIÁN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0004-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PACHO ALDEA LEMOA,42567716,CANDELARIO ORDOÑEZ REINOSO,ALVARO ARMANDO CHACAJ CHACAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0005-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON XESIC PRIMERO,50504912,CANDELARIO ORDOÑEZ REINOSO,ELISA MARLENY MEDRANO QUIRÓA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0006-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CASERÍO XATINAP PRIMERO,47566846,CANDELARIO ORDOÑEZ REINOSO,CIRIACO CECILIO SIMEÓN BULUX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0007-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON CUCABAJ II,54759797,CANDELARIO ORDOÑEZ REINOSO,WENDY ELIZABETH GÓMEZ MARROQUIN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0008-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PAMESEBAL III CENTRO,,CANDELARIO ORDOÑEZ REINOSO,FERMINA CHÁVEZ REYNOSO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0009-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CASERÍO PACAJÁ PRIMERO,58958237,CANDELARIO ORDOÑEZ REINOSO,MIGUEL VENTURA LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0010-41,14-001,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON PANAJXIT II, ALDEA PANAJXIT",,JOSE OSCAR TIPAZ VELASQUEZ,TOMÁS ZACARÍAS PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0011-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON PACHO CHICALTE, ALDEA LEMOA",32558114,CANDELARIO ORDOÑEZ REINOSO,LUIS FRANCISCO DE LEÓN GALINDO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0012-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON CUCABAJ I,,CANDELARIO ORDOÑEZ REINOSO,AURA MARINA MORALES VELÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0013-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON XATINAP CUARTO CENTRO,,CANDELARIO ORDOÑEZ REINOSO,MANUELA LÓPEZ LAYNEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0014-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,XATINAP TERCER CENTRO,41830497,CANDELARIO ORDOÑEZ REINOSO,SAMUEL ADOLFO CASIÁ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0127-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PAMESEBAL I,,CANDELARIO ORDOÑEZ REINOSO,EDSON ADEMHAR PEREIRA GIRÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0128-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON XATINAP II,41258984,CANDELARIO ORDOÑEZ REINOSO,ANGELINA CATARINA ZAPETA ALVAREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0131-41,14-038,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON AGUILIX, ALDEA CHUJUYUB",49615358,CARLOS ARMANDO HERNANDEZ OSORIO,JUANA LETICIA PONCIO RODRÍGUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0132-41,14-038,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON CRUZ CHÉ III,59772228,CARLOS ARMANDO HERNANDEZ OSORIO,YOHANA PATRICIA LÓPEZ ALVARADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0134-41,14-038,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON AGUILIX SEGUNDO, ALDEA CHUJUYUB,",51684489,CARLOS ARMANDO HERNANDEZ OSORIO,FRANCISCO TUM VICENTE,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0157-41,14-038,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTÓN LAGUNITAS ALDEA CHUJUYUB,59799942,CARLOS ARMANDO HERNANDEZ OSORIO,KARLA HAYDEÉ GIRÓN URIZAR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0159-41,14-038,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CASERIO HERMANO PEDRO, AGUILIX III",30267608,CARLOS ARMANDO HERNANDEZ OSORIO,ERIKA YOHANA VILLEGAS RAYNOSO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0169-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CASERIO LAS CAFETERAS,58599634,CANDELARIO ORDOÑEZ REINOSO,ANABELA ROJAS ARGUETA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
