CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0021-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,ALDEA CHUJUYUB,42240558,CARLOS ARMANDO HERNANDEZ OSORIO,OLGA MARISOL ARGUETA RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0022-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,ALDEA SANTA ROSA CHUJUYUB,53495032,CARLOS ARMANDO HERNANDEZ OSORIO,JUAN CARLOS LEÓN VELÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0023-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,"CANTON XETINAMIT, ALDEA SANTA ROSA CHUJUYUB",46689597,CARLOS ARMANDO HERNANDEZ OSORIO,JUAN CARLOS GONZÁLEZ VENTURA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0024-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PACHO ALDEA LEMOA,42567716,CANDELARIO ORDOÑEZ REINOSO,ALVARO ARMANDO CHACAJ CHACAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0025-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XESIC I,,CANDELARIO ORDOÑEZ REINOSO,ELISA MARLENY MEDRANO QUIRÓA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0026-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO XATINAP PRIMERO,47566846,CANDELARIO ORDOÑEZ REINOSO,CIRIACO CECILIO SIMEÓN BULUX,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0027-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XATINAP III,41830497,CANDELARIO ORDOÑEZ REINOSO,SAMUEL ADOLFO CASIÁ GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0028-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PACHOJ ALDEA SANTA ROSA CHUJUYUB,41352325,CARLOS ARMANDO HERNANDEZ OSORIO,DÁMARIS AZUCENA ALACÁN GAMARRO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0029-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON XATINAP NO.4,,CANDELARIO ORDOÑEZ REINOSO,MANUELA LÓPEZ LAYNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0030-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO PACAJA PRIMERO,58958237,CANDELARIO ORDOÑEZ REINOSO,MIGUEL VENTURA LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0031-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO AGUILIX PRIMERO,49615358,CARLOS ARMANDO HERNANDEZ OSORIO,JUANA LETICIA PONCIO RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0032-43,14-001,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PANAJXIT II,40789481,JOSE OSCAR TIPAZ VELASQUEZ,TOMÁS ZACARÍAS PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0033-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON CRUZ CHÉ III,59772228,CARLOS ARMANDO HERNANDEZ OSORIO,YOHANA PATRICIA LÓPEZ ALVARADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0035-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO GRADITAS,32818381,CARLOS ARMANDO HERNANDEZ OSORIO,CARLOS PEDRO LOPEZ GONZALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0036-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON JORONJA,30203929,CARLOS ARMANDO HERNANDEZ OSORIO,JIMMY ALEXANDER CUCA VILLEGAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0037-43,14-038,QUICHE,SANTA CRUZ DEL QUICHE,EORM,"CANTON LOS REYES, ALDEA SANTA ROSA CHUJUYUB",32945112,CARLOS ARMANDO HERNANDEZ OSORIO,AMALIA SUSANA EQUILÁ SALAZAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0038-43,14-001,QUICHE,SANTA CRUZ DEL QUICHE,"EOUM ""MIGUEL ANGEL ALVARADO LOPEZ""",9A. AVE. Y 2A. CALLE ZONA 3,47210276,JOSE OSCAR TIPAZ VELASQUEZ,YURI ESTUARDO NAVA VIELMAN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0039-43,14-001,QUICHE,SANTA CRUZ DEL QUICHE,"EOUM TIPO FEDERACION ""TECUN UMAN""",7A. CALLE ENTRE LA 5A. Y 7A. AVENIDA DE LA ZONA 5,77550549,JOSE OSCAR TIPAZ VELASQUEZ,OSCAR GILBERTO MÉNDEZ PÉREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0040-43,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,4A. CALLE 6-12 ZONA 5,77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0041-43,14-001,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO CHICORRAL,56278388,JOSE OSCAR TIPAZ VELASQUEZ,ANGEL ENRIQUE GIRÓN VALDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0042-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CASERÍO XESIC II,42444101,CANDELARIO ORDOÑEZ REINOSO,FLORENCIO DANIEL CACIÁ GÓMEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0043-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PAMESEBAL III CENTRO,,CANDELARIO ORDOÑEZ REINOSO,FERMINA CHÁVEZ REYNOSO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0044-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PAMESEBAL I,,CANDELARIO ORDOÑEZ REINOSO,EDSON ADEMHAR PEREIRA GIRÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0045-43,14-002,QUICHE,SANTA CRUZ DEL QUICHE,EORM,CANTON PAMESEBAL II,,CANDELARIO ORDOÑEZ REINOSO,SALVADOR LEÓN MEDRANO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
