0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-1204-41,11-004,RETALHULEU,RETALHULEU,COPB ANEXA A EORM,COMUNIDAD AGRARIA SANTA INES,,MIGUEL ANGEL ARMAS ROCHA,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0023-41,11-005,RETALHULEU,SAN SEBASTIAN,COPB,"8A. AVENIDA ZONA 4 CANTÓN PARINOX, SAN SEBASTIAN",50785891,MARCO TULIO CALDERON ESTRADA,GLORIA REBECA PÉREZ HUOX,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0093-41,11-005,RETALHULEU,SAN SEBASTIAN,COPB ANEXA A EOUM NO 1,CANTON SAMALA,59011996,MARCO TULIO CALDERON ESTRADA,FRANCISCO CANO PAJARITO,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0922-41,11-005,RETALHULEU,SAN SEBASTIAN,COPB ANEXA A EORM,CANTON SAMALA,51077681,MARCO TULIO CALDERON ESTRADA,PAULA VIRGINIA ESTEBAN BATRES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-03-1264-41,11-006,RETALHULEU,SANTA CRUZ MULUA,COPB ANEXO A EORM JM,CANTON SAN ANTONIO EL MANGAL,33269114,MARIO RENE GARCIA GALINDO,DORCA ANGELINA PÉREZ TORRES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-0911-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM,ALDEA BACAJIA I,58403300,LIGIA LORENA SOTO PAZ,SANDRA PATRICIA JAVIER MIRANDA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-0912-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM,CANTON BACAJIA II,59415424,LIGIA LORENA SOTO PAZ,ANA LUCIA RODRIGUEZ CALDERÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-1101-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM,CANTON PAJALES ANEXO I,45994783,LIGIA LORENA SOTO PAZ,JOSÉ DAVID ANDRADE FLORES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-1211-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM,CANTON PAJALES ANEXO II,59792623,LIGIA LORENA SOTO PAZ,KIMBERLY CELESTE ARGUETA SOLIS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-1213-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM MIGUEL GARCIA GRANADOS,PARCELAMIENTO EL SALTO,36014082,LIGIA LORENA SOTO PAZ,BRENDA MARIELA XIBIR MACHIC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-1426-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXO A EORM,PARCELAMIENTO BUENOS AIRES,40489281,LIGIA LORENA SOTO PAZ,SOILA YOJANA LÓPEZ HERRERA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-1479-41,11-013,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXO A EORM GRACIELA VDA. DE PORTILLO,CASERIO EL BARRENITO,44783369,LIGIA LORENA SOTO PAZ,MARLENY VERALY GONZÁLEZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-07-1267-41,11-010,RETALHULEU,CHAMPERICO,COPB ANEXO A EORM,ALDEA MULTICULTURAL VICTORIAS III,33360937,JAIRO NOE HERNÁNDEZ SERRANO,AUDINO MORALES LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-09-0061-41,11-012,RETALHULEU,EL ASINTAL,COPB ANEXA EORM,ALDEA SIBANA,56934385,PATRICIA NOHEMÍ ARANGO DARDÓN,MIGUEL ANGEL IXCOT LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-09-0062-41,11-012,RETALHULEU,EL ASINTAL,"COPB ANEXA EORM SECTOR SUR, ALDEA SIBANA","SECTOR SUR, ALDEA SIBANA",41545632,PATRICIA NOHEMÍ ARANGO DARDÓN,ROSMAN JACOBO DE LEÓN DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-09-0064-41,11-012,RETALHULEU,EL ASINTAL,COPB ANEXA A EORM SECTOR ENTRE RÍOS,"SECTOR ENTRE RÍOS, ALDEA EL XAB",53577295,PATRICIA NOHEMÍ ARANGO DARDÓN,MAYRA KARINA BARRIOS CIFUENTES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
,,,,,,,,,,,,,,,,
