CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0007-43,11-002,RETALHULEU,RETALHULEU,ESCUELA PRIVADA RURAL MIXTA,HACIENDA SAN JUAN ZAPOTE,30764182,JAQUELINE FERNANDA VELASQUEZ MAZARIEGOS,MIRTALA ANNABELLA LOPEZ VALLE,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0008-43,11-001,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4A. AVENIDA A PROLONGACION, ZONA 4",55109524,ALBA YADIRA MONTEJOS MARTINEZ,JOSÉ DAMIÁN RAMÍREZ ESTUPE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0009-43,11-003,RETALHULEU,RETALHULEU,EOUM TIPO FEDERACION RUBEN VILLAGRAN PAUL,CALZADA LAS PALMAS ZONA 2,58943527,ROSELVA SOFIA OVALLE BARRIOS,MARÍA ELENA CHÁVEZ HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0010-43,11-003,RETALHULEU,RETALHULEU,EOUM,5A. CALLE 8-20 ZONA 1,77716717,ROSELVA SOFIA OVALLE BARRIOS,ANA MERCEDES MINERA MONZÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0011-43,11-001,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4 AV. A PROLONGACION, ZONA 4",77712381,ALBA YADIRA MONTEJOS MARTINEZ,AURA MARINA GODÍNEZ SOLIS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0012-43,11-001,RETALHULEU,RETALHULEU,EOUM MONTERREY,13 AVENIDA 1-36 ZONA 4,54996731,ALBA YADIRA MONTEJOS MARTINEZ,VILMA JOSEFA ARTOLA OBISPO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0013-43,11-004,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,"2A. CALLE 3-02 ZONA 5, COLONIA MARIA TERESA",77710562,MIGUEL ANGEL ARMAS ROCHA,LUDIM CELESTINA MÉNDEZ PÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0014-43,11-017,RETALHULEU,RETALHULEU,COLEGIO EVANGELICO MIXTO SINAI,"5A. CALLE, INGRESO A LA COLONIA EL PEDREGAL I, ZONA 6",77715189,MIGUEL ANGEL ARMAS ROCHA,ILIANA ALEJANDRA MONZÓN RUANO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0015-43,11-017,RETALHULEU,RETALHULEU,COLEGIO MIXTO 'LICEO RETALTECO',3ERA AVENIDA 6-49 ZONA 1,77710580,MIGUEL ANGEL ARMAS ROCHA,JORGE VICTORIO VÁSQUEZ GARCÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0017-43,11-017,RETALHULEU,RETALHULEU,COLEGIO MIXTO RETALHULEU,6A. AVENIDA 3-40 ZONA 1,58651746,MIGUEL ANGEL ARMAS ROCHA,LILIAN ELBA CASTILLO ESCOBAR,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
