0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-04-0015-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXO A EORM,"0 CALLE 4-20 ZONA 1, ALDEA RANCHO ALEGRE",52313751,MIRIAM VERONICA GIL QUISQUINAY,MARÍA SILVIA QUISQUE RAJPOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0099-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,1A. CALLE 2-01 ZONA 0 ALDEA SAN RAFAEL EL ARADO,,MIRIAM VERONICA GIL QUISQUINAY,JUAN CARLOS CERNA SANTOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0100-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,ALDEA EL REJON,42882260,MIRIAM VERONICA GIL QUISQUINAY,JUAN INOCENTE DE PAZ DÍAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0101-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,CERO AVENIDA 1-15 ZONA 2 SAN JOSE EL YALU,30225366,MIRIAM VERONICA GIL QUISQUINAY,ANDREA MICHELLE CASTILLO SILIEZAR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0870-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,ALDEA SANTA MARTA,41809263,MIRIAM VERONICA GIL QUISQUINAY,MARVIN HERBER HERNÁNDEZ MUTZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0874-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,ALDEA LAS FLORES,31455661,MIRIAM VERONICA GIL QUISQUINAY,EVERARDO JOSÉ JIMENEZ CANEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0974-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EORM,ALDEA EL TUNINO,,MIRIAM VERONICA GIL QUISQUINAY,SUCELI MARISOL GARCÍA GÁMEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-04-0977-41,03-004,SACATEPEQUEZ,SUMPANGO,COPB ANEXA A EOUM 'BILINGUE',"COLONIA SANTA ROSITA, ZONA 5",33169456,MIRIAM VERONICA GIL QUISQUINAY,ANA ISABEL AXPUAC SANTANDER,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-05-0005-41,03-010,SACATEPEQUEZ,SANTO DOMINGO XENACOJ,COPB COMUNIDAD EL CALVARIO,"COMUNIDAD EL CALVARIO, ZONA 3",,OSCAR HUMBERTO SUBUYUJ GIL,GILBERTO ADAN AQUINO CHOC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
