0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0042-45,12-001,SAN MARCOS,SAN MARCOS,"INEB ""JUSTO RUFINO BARRIOS""","ALDEA CAXAQUE, SAN MARCOS",77608232,ENIO RELMAN MALDONADO SOLIS,ISAÍAS MOISÉS CASTRO CARDONA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0043-45,12-001,SAN MARCOS,SAN MARCOS,"INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL ""PROFESORA MARIA CRISTINA BARRIOS""",CALZADA 25 DE ABRIL ZONA 5,77601832,ENIO RELMAN MALDONADO SOLIS,ANA SETH OROZCO CASTAÑÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0046-45,12-001,SAN MARCOS,SAN MARCOS,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SAN ANTONIO SERCHIL,50479131,ENIO RELMAN MALDONADO SOLIS,FRANKLIN ADULFO BERNARDO PÉREZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0047-45,12-001,SAN MARCOS,SAN MARCOS,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SAN SEBASTIAN,50582918,ENIO RELMAN MALDONADO SOLIS,JOSÉ ESTUARDO MACARIO,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0049-45,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,44974285,ENIO RELMAN MALDONADO SOLIS,JOSÉ JONATÁN MÉNDEZ ACEVEDO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0050-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147,HELIUV EDILZAR VASQUEZ NAVARRO,SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0053-45,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0077-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""","12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743,HELIUV EDILZAR VASQUEZ NAVARRO,BRENDY LUCRECIA VÁSQUEZ VELÁSQUEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0079-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,41508727,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VÁSQUEZ OROZCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
