0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-02-0154-41,12-005,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,COPB ANEXA A EORM,CASERIO IXHUAL ALDEA SAN ISIDRO CHAMAC,41082283,JUAN FRANCISCO BARRIOS ECHEVERRIA,WERNER FRISMAN FUENTES SOBERANIS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0012-41,12-060,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,CASERIO LA NUEVA ESPERANZA ALDEA TUILELEN,47885424,VICTOR MANUEL AGUILON CRISOSTOMO,APOLINARIO TOMÁS ZACARÍAS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0013-41,12-126,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,CANTON LAS BARRANCAS ALDEA TUIXOQUEL,46001072,CESAR GONZALO GARCÍA FELICIANO,GERMAN GAUDENCIO GARCÍA SALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0014-41,12-126,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CASERIO CANTZELA, ALDEA SAN LUIS",58834517,CESAR GONZALO GARCÍA FELICIANO,JAIME LÓPEZ TÉMAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0015-41,12-128,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,SECTOR LA FLORIDA ALDEA PIEDRA DE FUEGO,40363956,FRANCISCO JAVIER JUAREZ TEMAJ,FREDY PORFIRIO AGUILÓN PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0076-41,12-132,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CASERIO LOMA LINDA, ALDEA CHIXAL",50548580,FREDY ARMANDO FELICIANO GABRIEL,FLORENTINA GABRIEL PABLO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0082-41,12-060,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CANTON VILLA NUEVA, ALDEA TUILELEN",49997298,VICTOR MANUEL AGUILON CRISOSTOMO,JAIRO PÉREZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0083-41,12-060,SAN MARCOS,COMITANCILLO,COPB ANEXO A EORM,"CANTON VISTA HERMOSA, ALDEA TUILELEN",45911271,VICTOR MANUEL AGUILON CRISOSTOMO,ABIDÁN EFRAÍN PÉREZ MONZÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-04-0084-41,12-139,SAN MARCOS,COMITANCILLO,COPB ANEXA A EORM,"CANTON PEÑA FLOR, ALDEA TUILELEN",47831401,CÉSAR GONZALO GARCÍA FELICIANO,SALVADOR GABRIEL PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
