CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0010-43,12-002,SAN MARCOS,SAN MARCOS,EOUN TIPO FEDERACION 'DR. ULISES ROJAS BENFELL',2A. AVENIDA Y 11 CALLE ZONA 1,55596615,AMILSA YAMILETH ESTRADA RODRÍGUEZ,VICTOR HUGO OCHOA GÁLVEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0011-43,12-002,SAN MARCOS,SAN MARCOS,EOUM DE APLICACION 'NACIONES UNIDAS',12 AVENIDA 8-48 ZONA 3,31191046,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ABIMELEC MATUSAEL LÓPEZ BAUTISTA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0012-43,12-002,SAN MARCOS,SAN MARCOS,EOUM ESTADO DE ISRAEL,ZONA 3 CANTON SAN ANTONIO,77603927,AMILSA YAMILETH ESTRADA RODRÍGUEZ,LISELY ANALY JUÁREZ MÉRIDA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0013-43,12-002,SAN MARCOS,SAN MARCOS,EOUM 'CARLOS CASTILLO ARMAS',"CANTON SAN FRANCISCO, ZONA 5",77603110,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ESTELA ANGELINA GARCÍA MARROQUIN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0014-43,12-002,SAN MARCOS,SAN MARCOS,EOUN NO.2 ISABEL BARRIOS Y BARRIOS,5A. CALLE 9-38 ZONA 4,37598560,AMILSA YAMILETH ESTRADA RODRÍGUEZ,LEODAN GÁLVEZ ROBLERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0015-43,12-002,SAN MARCOS,SAN MARCOS,"EOUV NO. 3 ""DELFINO AGUILAR""",5A. CALLE 9-56 ZONA 4,77605885,AMILSA YAMILETH ESTRADA RODRÍGUEZ,MASLERY MARÍA MONTERROSO MORÁN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0016-43,12-002,SAN MARCOS,SAN MARCOS,EOUV NO.1 'J. ANTONIO DE LEON BONILLA',8A. AVENIDA 4-94 ZONA 2,51297138,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ESTELA LIDIA BARTOLÓN PÉREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0017-43,12-002,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147,AMILSA YAMILETH ESTRADA RODRÍGUEZ,SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0018-43,12-002,SAN MARCOS,SAN MARCOS,COLEGIO EVANGELICO MIXTO NAZARENO,15 AVENIDA 5-36 ZONA 5,45764065,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ENNA DEL CARMEN GIRÓN RODRÍGUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0019-43,12-100,SAN MARCOS,SAN MARCOS,COLEGIO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0021-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA SAN RAFAEL SOCHE,31798401,AMILSA YAMILETH ESTRADA RODRÍGUEZ,KARINA NINETH REYES MALDONADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0022-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA BOJONAL,49017902,AMILSA YAMILETH ESTRADA RODRÍGUEZ,SHIRLEY JOSEFINA WUNDRAM ARGUETA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0023-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA IXTAGEL,,AMILSA YAMILETH ESTRADA RODRÍGUEZ,DANIEL MEFIBOSET ARREAGA RAMOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0024-43,12-002,SAN MARCOS,SAN MARCOS,EORM,CANTON LOS CEREZOS ALDEA SAN ANTONIO SERCHIL,53616718,AMILSA YAMILETH ESTRADA RODRÍGUEZ,TORIBIO MARROQUÍN PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0025-43,12-100,SAN MARCOS,SAN MARCOS,EORM,ALDEA CANAQUE,30479261,JORGE EBERTO SOLORZANO SANCHEZ,EDWARD ANTONIO SANDOVAL ALDANA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0026-43,12-002,SAN MARCOS,SAN MARCOS,EORM,CANTON CANOA DE PIEDRA ALDEA SAN SEBASTIAN,,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ISRAEL GUADALUPE BARRIOS LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0027-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA LA FEDERACION,42037259,AMILSA YAMILETH ESTRADA RODRÍGUEZ,LUIS FELIPE VALIENTE LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0028-43,12-002,SAN MARCOS,SAN MARCOS,EORM 'JULIA REBECA DE CANCINOS',ALDEA LAS LAGUNAS,42996142,AMILSA YAMILETH ESTRADA RODRÍGUEZ,PRISCILIA JACKELINA MORALES PÉREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0029-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA SAN SEBASTIAN,,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ROCKSANDA JULIETA QUIROA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0030-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA EL RINCON,30769249,AMILSA YAMILETH ESTRADA RODRÍGUEZ,HÉCTOR GUILLERMO OCHOA GÁLVEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0031-43,12-002,SAN MARCOS,SAN MARCOS,EORM CARLOS ALFONSO BARRIOS DE LEON,ALDEA CAXAQUE,30983020,AMILSA YAMILETH ESTRADA RODRÍGUEZ,MARIO LINDOMAR OCHOA REYES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0032-43,12-002,SAN MARCOS,SAN MARCOS,EORM,ALDEA AGUA CALIENTE,40164741,AMILSA YAMILETH ESTRADA RODRÍGUEZ,DELIA ESPERANZA PAZ TOBAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
