CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0036-45,06-001,SANTA ROSA,CUILAPA,INEBE CON ORIENTACION OCUPACIONAL DR. JUAN JOSE AREVALO BERMEJO,BARRIO LAS DELICIAS,78865440,IRMA YOLANDA CHACON ARROYO,EDVIN DE JESÚS LUCAS SÁENZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0037-45,06-001,SANTA ROSA,CUILAPA,IEBC DE ENSEÑANZA,BARRIO LAS DELICIAS,78865054,IRMA YOLANDA CHACON ARROYO,VERONICA LIZZET CALDERON CASTILLO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0060-45,06-001,SANTA ROSA,CUILAPA,IEBC DE ENSEÑANZA,"ALDEA GUACAMAYAS, VILLA LAURA",,IRMA YOLANDA CHACON ARROYO,RUBIDIA GONZÁLEZ JIMÉNEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0062-45,06-001,SANTA ROSA,CUILAPA,INEB,"""BARRIO LA PARROQUIA""",78866044,IRMA YOLANDA CHACON ARROYO,ODRA KARINA VÁSQUEZ SOLÓRZANO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0063-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERIO LAGUNA DE SAN JOSE,42491736,IRMA YOLANDA CHACON ARROYO,MEDARDO SALAZAR BOLAÑOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0064-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA VILLA GRACIELA,44821589,IRMA YOLANDA CHACON ARROYO,EDY FRANCISCO CALEL MIJANGOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0065-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CALLE PRINCIPAL, ALDEA EL JICARO",47138062,IRMA YOLANDA CHACON ARROYO,MARILYN ANALY GALIZ GARCIA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0066-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA CANDELARIA,59926206,IRMA YOLANDA CHACON ARROYO,CÉSAR ARMANDO CORONADO FRANCO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0067-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA PROVIDENCIA,45125103,IRMA YOLANDA CHACON ARROYO,SILVIA AMPARO CHAJON LOPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0068-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CASERÍO EL RENACIMIENTO, ALDEA LOS ESCLAVOS",50197979,IRMA YOLANDA CHACON ARROYO,ABEL MIZRAI ALVAREZ GONZÁLEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0082-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA SAN NICOLAS,35653023,IRMA YOLANDA CHACON ARROYO,FLORIDALMA LÓPEZ RAMÍREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0086-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERÍO LOS CHILITOS,59395255,IRMA YOLANDA CHACON ARROYO,BELTER JOEL ESQUITE PEREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
