CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0029-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS COSIGUÁ COJTÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0030-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO EL TRIUNFO, ALDEA PUJUJIL II",42520271,CARLOS RIGOBERTO POS TUY,CARLOS FEDERICO PUAC JOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0031-43,07-003,SOLOLA,SOLOLA,EORM,CASERIO CHURUNELES II ALDEA PUJUJIL II,41963925,VÍCTOR CHUMIL CHIROY,AURA MARINA MENDOZA AJÚ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0032-43,07-002,SOLOLA,SOLOLA,EORM,CASERIO EL ENCANTO CANTON PUJUJIL II,55944007,CARLOS RIGOBERTO POS TUY,VÍCTOR ALFREDO CHIPÍN CHIROY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0033-43,07-002,SOLOLA,SOLOLA,EORM,"CASERÍO LA FE, CANTÓN PUJUJIL II",42132088,CARLOS RIGOBERTO POS TUY,SANTOS RAFAEL TUN YAXÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0034-43,07-004,SOLOLA,SOLOLA,EORM,"CASERIO LA UNION, ALDEA SAN JUAN ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,EUSEBIO ANDRÉS PAR LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0035-43,07-004,SOLOLA,SOLOLA,EORM,CASERIO COXOM ALDEA SAN JUAN ARGUETA,51503442,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOHANA SUSANA TZUL TALÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0036-43,07-005,SOLOLA,SOLOLA,EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",32971776,JUSTO SANTIAGO PONCIO PÚ,LUCIA GUADALUPE CHOROR CHUJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0037-43,07-002,SOLOLA,SOLOLA,EORM ANEXA EORM,"CASERIO SAN BUENA VENTURA, ALDEA PIXABAJ",48065590,CARLOS RIGOBERTO POS TUY,JUAN RAMÓN MENCHÚ CUTZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0038-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO SAN JUAN, ALDEA PIXABAJ",57309419,CARLOS RIGOBERTO POS TUY,PABLO JEATZ POCOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
