0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-08-0017-41,10-009,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EORM,CANTON SAN ANTONIO NIMA I,57175755,PAULA ZUCELY QUIBAJA PEREZ DE TELON,LEONARDA AVILA CHÚN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-08-0018-41,10-009,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EORM,CANTON SAN FRANCISCO PUMA-NIMA,58521936,PAULA ZUCELY QUIBAJA PEREZ DE TELON,JORGE MARIO MANCIO CORADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-08-0019-41,10-009,SUCHITEPEQUEZ,SAMAYAC,COPB ANEXO A EOUM NO. 2,CANTON SANTO DOMINGO,42174677,PAULA ZUCELY QUIBAJA PEREZ DE TELON,JORGE RUFINO CACOJ IMERY,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-09-0017-41,10-010,SUCHITEPEQUEZ,SAN PABLO JOCOPILAS,COPB ANEXO A EORM,SECTOR LA GUARDIANIA Y PACOCO COMUNIDAD AGRARIA CHOCOLA,35722678,MILDRED JANETH DE LEON MENDEZ DE FUENTES,MARIA FRANCISCA VELASQUEZ CHAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-10-0060-41,10-014,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,COPB ANEXO A EORM,ALDEA NAHUALATE,58251488,LILIA OLIMPIA CHAPETON CARDONA,LUISA ALEJANDRA PALACIOS CANIZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-10-0061-41,10-014,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,COPB ANEXO A EORM,COLONIA SANTA FE,41884655,LILIA OLIMPIA CHAPETON CARDONA,RAUL ALFONSO CHAPETON MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-10-0063-41,10-014,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,COPB ANEXO A EORM,ALDEA EL TRIUNFO,51365009,LILIA OLIMPIA CHAPETON CARDONA,BRENDY MISHEL CHUVAC VIELMAN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-10-0064-41,10-014,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,COPB ANEXO A EORM,"CANTON LA TOMA, ALDEA NAHUALATE",32158894,LILIA OLIMPIA CHAPETON CARDONA,CELESTE ALEJANDRINA MARTÍNEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-10-0065-41,10-014,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,COPB ANEXO A EORM,ALDEA BARRIOS I SECTOR SAN VICENTE,59405537,LILIA OLIMPIA CHAPETON CARDONA,CLEOPATRA ELIZABETH PACHECO MACHIC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
