0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0101-45,08-001,TOTONICAPAN,TOTONICAPAN,INEB,9A. AVENIDA 6-06 ZONA 3,45609633,MIGUEL AJPOP VÁSQUEZ,WALTER GIOVANNI MONROY BARRIOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0102-45,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PEDRO DE BETHANCOURT,4A AVE. 3A CALLE ZONA 1,77661118,MIGUEL AJPOP VASQUEZ,ISABEL MARÍA MELÉNDEZ PINEDA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0104-45,08-004,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACION BASICA POR COOPERATIVA,CANTON PAQUI,49926233,FRANCISCO RECINO XALIX SAY,CASIMIRO PABLO ALVARADO TZUL,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0105-45,08-005,TOTONICAPAN,TOTONICAPAN,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA BARRANECHÉ,57663525,ROBERTO APARICIO RECINOS VALDEZ,ROGELIO JUAN VÁSQUEZ MORALES,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0106-45,08-001,TOTONICAPAN,TOTONICAPAN,INEB ADSCRITO A ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661258,MIGUEL AJPOP VÁSQUEZ,OTTO GILBERTO AMADO TELLO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0107-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""","3A. CALLE 12-08, ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0177-45,08-005,TOTONICAPAN,TOTONICAPAN,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA LA CONCORDIA,57424281,ROBERTO APARICIO RECINOS VALDEZ,RODRIGO MANUEL AGUILAR VÁSQUEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0179-45,08-001,TOTONICAPAN,TOTONICAPAN,INEB INSTITUTO NACIONAL DE EDUCACION BASICA ANEXO A ENRO NO. 2,PARAJE PARRAMON ZONA 5,42108091,MIGUEL AJPOP VÁSQUEZ,JUAN VIRGILIO GARCÍA VÁSQUEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0180-45,08-006,TOTONICAPAN,TOTONICAPAN,INEB DE TELESECUNDARIA,PARAJE PAIMUT CANTON TZANIXNAM,53173676,RENE OSWALDO TOYOM JUAREZ,ZAIRA JEANETTE MUCHUCH PACHECO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0211-45,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO EVANGELICO PREUNIVERSITARIO TRILINGUE DE OCCIDENTE,CASERIO SEGUNDO PALEMOB ALDEA VASQUEZ,59862691,MIGUEL AJPOP VASQUEZ,EDWIN DAVID GUTIÉRREZ DE LEÓN,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0213-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO ""LA FAMILIA""",6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUÁREZ RODRÍGUEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0220-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO EVANGELICO METODISTA ""ESMIRNA""",SECTOR 2 CANTON CHUIXCHIMAL,77661272,MIGUEL AJPOP VASQUEZ,MIGUEL ANGEL AVILA CHUC,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0221-45,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PRIVADO MIXTO DE EDUCACIÓN BÁSICA TECNOLÓGICO INTERCULTURAL""MI GRAN TESORO""",CASERIO TZANJUYUP 1 ALDEA CHIPUAC,57092391,MIGUEL AJPOP VASQUEZ,SANTOS ESTEBAN TZOC MENCHÚ,BASICO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0228-45,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA SEMILLA,"11 AVENIDA 2-40 ZONA 2, TOTONICAPÁN",77667181,MIGUEL AJPOP VASQUEZ,KARLA ISELA LÓPEZ BULUX,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
