CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0044-43,08-001,TOTONICAPAN,TOTONICAPAN,EOUV MIGUEL GARCIA GRANADOS,1A. CALLE 10-26 ZONA 2,58704890,MIGUEL AJPOP VÁSQUEZ,JULIO DARIO JUÁREZ ARCHILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0045-43,08-001,TOTONICAPAN,TOTONICAPAN,EOUV TIPO FEDERACION ATANACIO TZUL,ZONA INDEPENDENCIA,55595984,MIGUEL AJPOP VÁSQUEZ,MIRNA BEATRIZ BARRIOS RODRIGUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0046-43,08-001,TOTONICAPAN,TOTONICAPAN,EOUN MIGUEL GARCIA GRANADOS,1A. CALLE 10-26 ZONA INDEPENDENCIA,77663064,MIGUEL AJPOP VÁSQUEZ,ALBA EUGENIA DE LEÓN SANTISTEBAN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0047-43,08-001,TOTONICAPAN,TOTONICAPAN,EOUN TIPO FEDERACION ATANASIO TZUL,ZONA INDEPENDENCIA,77661138-57175848,MIGUEL AJPOP VÁSQUEZ,ALFREDO PEDRO BAQUIAX IXCAQUIC,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0048-43,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PEDRO DE BETHANCOURT,4A. AVE. Y 3A. CALLE ZONA 1,77661118,MIGUEL AJPOP VASQUEZ,ISABEL MARÍA MELÉNDEZ PINEDA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0049-43,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO EVANGELICO GUATEMALA,13 AVE. Y 2A. CALLE ZONA 2,77662045,MIGUEL AJPOP VÁSQUEZ,CARLOS SAMUEL TAX VELÁSQUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0050-43,08-006,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE XEGUACHIBAL ALDEA TZANIXNAM,49468087,RENE OSWALDO TOYOM JUAREZ,SANTOS AGUSTÍN YAX AJPOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0051-43,08-005,TOTONICAPAN,TOTONICAPAN,EORM PAULINO LEONIDAS NORIEGA GONZALEZ,ALDEA LA CONCORDIA,49394394,ROBERTO APARICIO RECINOS VALDEZ,JOSÉ LEONARDO CUTZ BATZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0052-43,08-002,TOTONICAPAN,TOTONICAPAN,EORM,ALDEA NIMASAC,46736979,JOSÉ VICTOR CHAMORRO HUITZ,LUIS GARCÍA TÍU,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0053-43,08-003,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PAJUMUJUYUP CANTON CHUISUC,58285815,OSCAR MOISÉS LACÁN ALVAREZ,MIGUEL ANTONIO TACAM GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0054-43,08-006,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PASAJOC CANTON MACZUL,57352988,RENE OSWALDO TOYOM JUAREZ,AMELIA ESTELA TZUNÚN VÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0055-43,08-004,TOTONICAPAN,TOTONICAPAN,EORM,CANTON JUCHANEP,30032822,FRANCISCO RECINO XALIX SAY,JOSÉ BULUX TZUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0056-43,08-003,TOTONICAPAN,TOTONICAPAN,EORM,CANTON CHUIXTOCA,56930063,OSCAR MOISÉS LACÁN ALVAREZ,ROSALÍA ISABEL VÁSQUEZ VICENTE,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0057-43,08-006,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE CHUIPACHEC FINAL ZONA UNO,44534359,RENE OSWALDO TOYOM JUAREZ,JOSÉ ENRIQUE HERNÁNDEZ TALÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0058-43,08-005,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE PACAPOX CANTON CHIYAX,57617855,ROBERTO APARICIO RECINOS VALDEZ,MARÍA TOMASA TAHAY TAHAY,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0059-43,08-006,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE MEDIA CUESTA ALDEA CHIMENTE,57484450,RENE OSWALDO TOYOM JUAREZ,FRANCISCO NOLASCO VÁSQUEZ CANIZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0060-43,08-005,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE CHUIPEC CANTON PANQUIX,49473874,ROBERTO APARICIO RECINOS VALDEZ,FRANCISCO BENITO GUTIERREZ ALVARADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0061-43,08-006,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE CHOMAZAN FINAL DE LA ZONA 1,30829931,RENE OSWALDO TOYOM JUAREZ,JEREMÍAS ELÍAS MÉNDEZ BATZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0062-43,08-003,TOTONICAPAN,TOTONICAPAN,EORM,"PARAJE PORTAZUELA, CANTÓN PAXTOCA",49503918,OSCAR MOISÉS LACÁN ALVAREZ,ROSA SEBASTIANA TZUL TAX,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0063-43,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""",3A. CALLE 12-08 ZONA 2,77661920,MIGUEL AJPOP VASQUEZ,FABIOLA CATARINA AGUILAR GARCÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0064-43,08-003,TOTONICAPAN,TOTONICAPAN,EORM,CANTON XESACMALJA,40339011,OSCAR MOISÉS LACÁN ALVAREZ,MOISÉS AGUSTÍN CITALÁN BARRENO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0065-43,08-005,TOTONICAPAN,TOTONICAPAN,EORM,PARAJE XOLNAHUALA CANTON PANQUIX,46865489,ROBERTO APARICIO RECINOS VALDEZ,JESÚS GREGORIO LÓPEZ PUÁC,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0066-43,08-004,TOTONICAPAN,TOTONICAPAN,EORM ATANASIO TZUL,CANTON PAQUI,46788468,FRANCISCO RECINO XALIX SAY,TOMÁS DELFINO TZUNÚN TZUNÚN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0067-43,08-003,TOTONICAPAN,TOTONICAPAN,EORM JOSE CRUZ PACHECO TAHAY,CANTON CHUICRUZ,48163568,OSCAR MOISÉS LACÁN ALVAREZ,HÉCTOR BENJAMÍN GARCÍA TÍU,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0068-43,08-002,TOTONICAPAN,TOTONICAPAN,EORM CENTRO AMERICA,CANTON PASAJOC,49388950,JOSÉ VICTOR CHAMORRO HUITZ,LUZ ARGENTINA JUÁREZ ORDÓÑEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
