CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0029-45,19-004,ZACAPA,ZACAPA,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA POLJA,42141225,FLORIDALMA GARCIA LUNA DE HICHOS,BRENDA LEONORA MOLINA DEL CID,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0037-45,19-003,ZACAPA,ZACAPA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DE TELESECUNDARIA,ALDEA LOMA DEL VIENTO,48890793,AURA LORENA CANTORAL AGUSTIN,JOSÉ BELTRÁN MATA VILLEGAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0072-45,19-001,ZACAPA,ZACAPA,"INSTITUTO DE EDUCACIÓN MEDIA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL ""JOSÉ RODRÍGUEZ CERNA""","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA REFORMA",79410141,SONIA HAYDEE RUIZ WONG,MARCO ANTONIO LÓPEZ RAMOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0073-45,19-001,ZACAPA,ZACAPA,INSTITUTO NACIONAL MIXTO DE EDUCACION BASICA,16 AVENIDA 9-51 BARRIO TAMARINDAL ZONA 1,79410797,SONIA HAYDEE RUIZ WONG,OLIVIA LUCRECIA HERNÁNDEZ PAZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA
19-01-0075-45,19-002,ZACAPA,ZACAPA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SANTA ROSALIA,79413557,MARIA ELENA GARCIA CONTRERAS DE QUINTO,KELYN ESMERALDA SALGUERO AYALA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0076-45,19-003,ZACAPA,ZACAPA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA EL TERRERO,42786730,AURA LORENA CANTORAL AGUSTIN,SERGIO MANOLO RAMÍREZ CHACÓN,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0084-45,19-001,ZACAPA,ZACAPA,INSTITUTO ADOLFO V. HALL DE ORIENTE,BARRIO CRUZ DE MAYO,39913254,SONIA HAYDEE RUIZ WONG,RAÚL ANIBAL PINEDA PEÑATE,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0086-45,19-019,ZACAPA,ZACAPA,"CENTRO EDUCATIVO JUVENIL CATÓLICO ""NUESTRA SEÑORA DE FÁTIMA""",12 CALLE A 14-03 ZONA 1,79410382,HUGO WILFREDO VARGAS CHACON,FIDIAS ROBERTO MONROY LEMUS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0117-45,19-001,ZACAPA,ZACAPA,INEB,LOMA COLONIA EL CHAPARRO,79412412,SONIA HAYDEE RUIZ WONG,JÉNNIFER LISSETH ACEVEDO MORALES,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0118-45,19-004,ZACAPA,ZACAPA,INEB DE TELESECUNDARIA,ALDEA LAMPOCOY,48890793,FLORIDALMA GARCIA LUNA DE HICHOS,JOSÉ BELTRÁN MATA VILLEGAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0119-45,19-002,ZACAPA,ZACAPA,INEB DE TELESECUNDARIA,ALDEA LLANO DE PIEDRAS,57459765,MARIA ELENA GARCIA CONTRERAS DE QUINTO,RUTH CAROLINA FLORES MORALES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0120-45,19-004,ZACAPA,ZACAPA,INEB DE TELESECUNDARIA,1A. CALLE COLONIA PUEBLO MODELO,32692708,FLORIDALMA GARCIA LUNA DE HICHOS,ARIEL RENATO PEDROZA LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0121-45,19-004,ZACAPA,ZACAPA,INEB DE TELESECUNDARIA,ALDEA MANZANOTES,79415486,FLORIDALMA GARCIA LUNA DE HICHOS,JUANA LEONOR ARCHILA DE LA CRUZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0122-45,19-004,ZACAPA,ZACAPA,INEB DE TELESECUNDARIA,ALDEA EL GUINEAL,59617897,FLORIDALMA GARCIA LUNA DE HICHOS,MARCO TULIO LÓPEZ RAMÍREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0139-45,19-019,ZACAPA,ZACAPA,COLEGIO PARTICULAR MIXTO LICEO CRISTIANO ZACAPANECO,"12 AVENIDA Y 8A. CALLE ESQUINA, ZONA 1",79410316,HUGO WILFREDO VARGAS CHACON,LUCY RAQUEL APARICIO ROLDÁN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
