CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0008-43,19-001,ZACAPA,ZACAPA,EOUN NO.1 PROFA. CARLOTA WONG DE RUIZ,BARRIO LA REFORMA,79410447,SONIA HAYDEE RUIZ WONG,HILDA ARACELY SOLIS TOBAR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0009-43,19-001,ZACAPA,ZACAPA,EOUV NO.2 LIC. MANUEL ROLDAN MORENO,16 AVE. 9-51 BARRIO TAMARINDAL ZONA 1,79412820,SONIA HAYDEE RUIZ WONG,INGRID MARIBEL GARCÍA HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0010-43,19-022,ZACAPA,ZACAPA,EOUV NO.1,COLONIA BOSQUES DE SAN JULIAN,42115057,HUGO WILFREDO VARGAS CHACON,MARIO OVIDIO AVILA PORTILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0011-43,19-001,ZACAPA,ZACAPA,EOUM JOSE ARCHILA LEMUS,8A. CALLE 1-25 ZONA 2,79414985,SONIA HAYDEE RUIZ WONG,LILIANA ANTÓN BELTETÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0012-43,19-001,ZACAPA,ZACAPA,EOUN NO.2 PEDRO NUFIO,BARRIO LA LADRILLERA,79414573,SONIA HAYDEE RUIZ WONG,MARÍA ESTHER GONZÁLEZ GALDAMEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0013-43,19-001,ZACAPA,ZACAPA,EOUM ELBA PERALTA VIUDA DE OLAVARRUETH,"COLONIA BANVI, ZONA 4",79414187,SONIA HAYDEE RUIZ WONG,XIOMARA JUDITH PEÑA VANEGAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0015-43,19-019,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""MARÍA INMACULADA""","12 CALLE ""A"" 14-03 ZONA 1",79414064,HUGO WILFREDO VARGAS CHACON,AGNES JUDITH PRADO LORETO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0017-43,19-019,ZACAPA,ZACAPA,COLEGIO BILINGÜE MONTESSORI,4A. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACON,WENSEL NOEMÍ HERNÁNDEZ REVOLORIO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0019-43,19-002,ZACAPA,ZACAPA,EORM PROFESOR JOSÉ AUGUSTO GUERRA CERNA,ALDEA LA FRAGUA,78829880,MARIA ELENA GARCIA CONTRERAS DE QUINTO,ELENA FRANCISCA DE LEÓN CRUZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0020-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA LLANO DE PIEDRAS,36508062,MARIA ELENA GARCIA CONTRERAS DE QUINTO,ELMER WILLY DE PAZ SANCHEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0021-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA SAN PABLO,51675525,FLORIDALMA GARCIA LUNA DE HICHOS,MARÍA DE LA LUZ DOMÍNGUEZ MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0022-43,19-004,ZACAPA,ZACAPA,EORM PROFESORA ZAIDA CONDES DE LA TORRE DE ESTRADA,ALDEA MANZANOTES,56963752,FLORIDALMA GARCIA LUNA DE HICHOS,ISMEL MARIZA CASTILLO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0023-43,19-002,ZACAPA,ZACAPA,EORM PROFA. SUSANA CATALINA CASTAÑEDA SALGUERO,ALDEA LA TREMENTINA,57722223,MARIA ELENA GARCIA CONTRERAS DE QUINTO,ANSELMA JANETTE RAMÍREZ GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0026-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA SANTA ROSALÍA,42456065,MARIA ELENA GARCIA CONTRERAS DE QUINTO,EUNICE PHENELOPHE OROZCO POLANCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0027-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA TAJARAL,52017156,AURA LORENA CANTORAL AGUSTIN,ALMA SULEMA CORADO FRANCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0028-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA LAMPOCOY,46711156,FLORIDALMA GARCIA LUNA DE HICHOS,SANDY JULIETA BETANCOURTH BARRIENTOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0030-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA EL MAGUEY,37206606,AURA LORENA CANTORAL AGUSTIN,SINDY MAGALY CUSH RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0032-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA LLANO DE CALDERÓN,56933728,MARIA ELENA GARCIA CONTRERAS DE QUINTO,JENIFER MAYBELÍ GONZÁLEZ FLORES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0033-43,19-004,ZACAPA,ZACAPA,EORM,CASERIO EL CAMALOTE,33365320,FLORIDALMA GARCIA LUNA DE HICHOS,RODOLFO NOLBERTO GONZÁLES CETINO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0035-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA EL COROZO,58070762,FLORIDALMA GARCIA LUNA DE HICHOS,LILIANA ELIZABETH GALDAMEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0038-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA LAS CAÑAS,46472782,FLORIDALMA GARCIA LUNA DE HICHOS,JORGE DANIEL DE PAZ MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0039-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA SANTA ANITA LA JINCO,30164921,AURA LORENA CANTORAL AGUSTIN,YOLBER ALEXÁNDER ORELLANA LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0040-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA AGUA BLANCA,30153309,MARIA ELENA GARCIA CONTRERAS DE QUINTO,HECTOR GEOVANY LOYO CASTAÑEDA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0042-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA LA MAJADA,57108970,AURA LORENA CANTORAL AGUSTIN,VICTORIA ELIZABETH VARGAS ANTÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0043-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA POLJA,42286563,FLORIDALMA GARCIA LUNA DE HICHOS,MIRIAM DEL CARMÉN PINEDA INTERIANO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0045-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA EL TERRERO,59289694,AURA LORENA CANTORAL AGUSTIN,HEYDI NOEMÍ CHACÓN BARAHONA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0046-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA MONTE OSCURO,53809295,FLORIDALMA GARCIA LUNA DE HICHOS,DAMARIS JULISSA LUCERO RAMIREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0047-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA EL GUINEAL,30284878,FLORIDALMA GARCIA LUNA DE HICHOS,ANA ISABEL VARGAS Y VARGAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0048-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA JUMUZNA,42201883,MARIA ELENA GARCIA CONTRERAS DE QUINTO,MARÍA EUGENIA CORDÓN Y CORDÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0049-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA CARI ALBALLEROS,55106694,AURA LORENA CANTORAL AGUSTIN,MÓNICA JULISSA DE LEÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0050-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA SANTA LUCIA,51768430,MARIA ELENA GARCIA CONTRERAS DE QUINTO,MAIRA YAJAYRA GUZMÁN GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0051-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA TAPATA,42617980,AURA LORENA CANTORAL AGUSTIN,KARLA CELESTE VARGAS GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0053-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA CERRO CHIQUITO,30404387,AURA LORENA CANTORAL AGUSTIN,EVELYN PATRICIA BARRIENTOS CASASOLA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0055-43,19-002,ZACAPA,ZACAPA,EORM,ALDEA EL PINALITO,45158782,MARIA ELENA GARCIA CONTRERAS DE QUINTO,MATILDE NINETH DUARTE GÓMEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0056-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA POTRERITOS,46646148,FLORIDALMA GARCIA LUNA DE HICHOS,ERICKA JOHANNA SANDOVAL MATA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0057-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA LOMA DEL VIENTO,59703964,AURA LORENA CANTORAL AGUSTIN,KAREN YADIRA CABRERA MONROY,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0058-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA CERRO GRANDE,59639979,AURA LORENA CANTORAL AGUSTIN,WILIAN ENRIQUE MONROY CALDERÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0059-43,19-004,ZACAPA,ZACAPA,EORM,ALDEA SHASTUTU,56172920,FLORIDALMA GARCIA LUNA DE HICHOS,JUAN GRANADOS ARRIAZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0061-43,19-003,ZACAPA,ZACAPA,EORM,ALDEA GUADALUPE,41600208,AURA LORENA CANTORAL AGUSTIN,ALEJANDRA CAROLINA HICHOS SALGUERO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
